"y","x","cluster_id"
5,74,151
5,85,151
6,72,151
6,73,151
6,74,151
6,84,151
6,85,151
6,86,151
7,69,151
7,73,151
7,83,151
7,86,151
7,92,151
7,93,151
8,65,151
8,66,151
8,67,151
8,68,151
8,69,151
8,72,151
8,73,151
8,99,151
8,100,151
8,101,412
8,103,412
9,65,151
9,66,151
9,67,151
9,68,151
9,69,151
9,70,151
9,73,151
9,76,151
10,60,151
10,61,151
10,62,151
10,64,151
10,65,151
10,66,151
10,67,151
10,68,151
10,69,151
10,75,151
10,76,151
10,89,151
10,90,151
10,102,412
11,60,151
11,61,151
11,62,151
11,63,151
11,64,151
11,65,151
11,67,151
11,68,151
11,71,151
11,72,151
11,74,151
11,75,151
11,76,151
11,77,151
12,67,151
12,69,151
12,70,151
12,71,151
12,72,151
12,74,151
12,75,151
12,82,151
12,100,412
13,55,151
13,56,151
13,57,151
13,58,151
13,66,151
13,67,151
13,68,151
13,69,151
13,70,151
13,71,151
13,72,151
13,73,151
13,93,151
13,100,412
13,104,412
14,55,151
14,56,151
14,57,151
14,58,151
14,59,151
14,65,151
14,66,151
14,67,151
14,68,151
14,69,151
14,70,151
14,71,151
14,72,151
14,97,412
14,113,352
15,58,151
15,59,151
15,60,151
15,63,151
15,64,151
15,65,151
15,66,151
15,67,151
15,68,151
15,69,151
15,70,151
15,71,151
15,72,151
15,115,352
16,39,194
16,58,151
16,59,151
16,62,151
16,63,151
16,67,151
16,68,151
16,69,151
16,70,151
16,71,151
16,91,151
17,29,194
17,33,194
17,41,194
17,42,194
17,57,151
17,63,151
17,66,151
17,67,151
17,68,151
17,69,151
17,70,151
17,82,151
17,84,151
17,93,412
18,43,194
18,45,194
18,57,151
18,58,151
18,60,151
18,61,151
18,62,151
18,65,151
18,66,151
18,67,151
18,68,151
18,69,151
18,70,151
19,28,194
19,29,194
19,41,194
19,46,194
19,47,194
19,58,151
19,62,151
19,66,151
19,109,412
19,118,352
19,119,352
19,125,352
20,28,194
20,36,194
20,42,194
20,44,194
20,67,151
20,68,151
20,69,151
20,122,352
21,29,194
21,30,194
21,31,194
21,39,194
21,43,194
21,46,194
21,56,151
21,60,151
21,66,151
21,67,151
21,69,151
21,70,151
21,79,151
21,109,412
21,126,352
21,134,352
21,141,352
22,25,194
22,27,194
22,30,194
22,31,194
22,34,194
22,56,151
22,63,151
22,65,151
22,66,151
22,67,151
22,69,151
22,70,151
22,77,151
22,79,151
22,137,352
22,140,352
22,142,352
23,30,194
23,57,151
23,64,151
23,68,151
23,79,151
23,141,352
23,142,352
24,24,194
24,30,194
24,58,151
24,63,151
24,64,151
24,65,151
24,66,151
24,67,151
24,68,151
24,69,151
24,70,151
24,74,151
24,76,151
24,99,412
24,107,412
24,137,352
24,138,352
24,144,352
25,23,194
25,24,194
25,25,194
25,29,194
25,30,194
25,52,194
25,64,151
25,65,151
25,66,151
25,67,151
25,68,151
25,69,151
25,70,151
25,71,151
25,76,151
25,114,352
25,138,352
26,21,194
26,24,194
26,25,194
26,48,194
26,65,151
26,66,151
26,67,151
26,68,151
26,70,151
26,74,151
26,75,151
26,101,412
26,108,412
26,109,412
26,114,352
26,135,352
26,137,352
27,32,194
27,60,151
27,61,151
27,67,151
27,68,151
27,71,151
27,74,151
27,75,151
27,76,151
27,77,151
27,79,151
27,80,151
27,87,412
27,90,412
27,109,412
27,131,352
28,18,194
28,67,151
28,68,151
28,69,151
28,70,151
28,71,151
28,72,151
28,73,151
28,74,151
28,75,151
28,77,151
28,78,151
28,79,151
28,105,412
28,106,412
28,107,412
29,23,194
29,24,194
29,40,194
29,61,151
29,69,151
29,71,151
29,72,151
29,73,151
29,74,151
29,75,151
29,76,151
29,77,151
29,78,151
29,81,412
29,107,412
29,110,412
29,123,352
29,132,352
29,152,352
29,153,352
30,19,194
30,41,194
30,74,151
30,75,151
30,76,151
30,77,151
30,78,412
30,79,412
30,81,412
30,123,352
30,134,352
