"y","x","cluster_id"
11,40,21
14,49,21
15,60,21
17,34,21
17,59,21
18,37,21
19,66,21
23,31,21
24,32,21
26,82,35
27,86,35
28,39,21
28,85,35
28,86,35
29,29,21
29,45,21
29,46,21
29,80,35
29,82,35
33,28,21
34,40,21
37,87,35
39,111,35
40,59,21
41,79,35
41,101,35
41,104,35
42,100,35
42,101,35
42,102,35
42,103,35
43,100,35
43,101,35
46,60,21
46,89,35
47,60,21
47,124,35
48,89,35
49,28,21
49,123,35
50,124,104
52,32,21
54,34,21
54,35,21
54,78,35
55,34,21
55,35,21
55,78,35
55,79,35
56,78,35
59,93,35
59,144,104
60,19,21
61,18,21
61,112,104
62,18,144
62,20,21
62,93,35
62,94,35
64,64,35
64,111,104
64,116,104
65,17,144
66,22,144
66,112,104
67,22,144
67,108,104
67,109,104
69,18,144
69,21,144
69,125,104
70,128,104
71,123,104
74,97,104
74,108,104
74,109,104
74,110,104
75,54,189
75,76,189
75,108,104
75,109,104
75,110,104
76,76,189
76,109,104
76,110,104
76,112,104
77,75,189
77,76,189
77,77,189
77,110,104
78,32,144
78,74,189
79,27,144
79,28,144
79,78,189
79,113,104
80,29,144
80,30,144
80,113,104
81,31,144
81,113,104
81,138,104
83,64,189
83,120,104
83,137,104
84,11,144
84,13,144
84,112,104
84,135,104
85,107,104
85,109,104
85,110,104
85,111,104
85,112,104
85,136,104
86,11,144
86,12,144
88,65,189
89,11,144
89,22,144
89,135,104
90,18,144
90,76,189
91,17,144
91,21,144
91,44,144
91,45,144
91,65,189
92,21,144
93,23,144
93,73,189
93,74,189
93,113,104
93,130,104
94,23,144
94,62,189
94,74,189
95,22,144
95,61,189
95,62,189
95,63,189
95,72,189
96,25,144
96,26,144
96,61,189
96,62,189
96,72,189
96,73,189
96,89,189
97,24,144
97,25,144
97,26,144
97,72,189
97,73,189
97,86,189
97,87,189
98,25,144
98,26,144
98,29,144
98,30,144
98,43,144
98,45,144
98,126,104
99,26,144
99,39,144
99,44,144
99,63,189
99,64,189
99,69,189
99,70,189
99,71,189
99,123,104
99,126,104
100,54,189
100,65,189
100,70,189
100,71,189
100,81,189
100,85,189
100,89,189
101,37,144
101,41,144
101,42,144
101,49,144
101,51,189
101,65,189
101,67,189
101,69,189
101,75,189
101,82,189
101,86,189
102,41,144
102,42,144
102,43,144
102,45,144
102,52,189
102,70,189
102,89,189
102,116,104
103,38,144
103,44,144
103,60,189
103,61,189
103,62,189
103,63,189
103,65,189
103,66,189
103,71,189
103,126,104
104,44,144
104,59,189
104,60,189
104,61,189
104,62,189
104,63,189
104,64,189
104,71,189
104,73,189
104,85,189
104,90,189
104,91,189
105,59,189
105,60,189
105,64,189
105,67,189
105,84,189
105,87,189
105,88,189
105,89,189
105,90,189
105,91,189
105,123,104
106,83,189
106,84,189
106,88,189
106,89,189
106,90,189
106,91,189
107,59,189
107,66,189
107,67,189
107,69,189
107,70,189
107,74,189
107,75,189
107,87,189
107,88,189
107,89,189
107,90,189
107,92,351
107,99,351
108,66,189
108,68,189
108,70,189
108,74,189
108,75,189
108,76,189
108,78,189
108,79,189
108,83,189
108,87,189
108,88,189
108,89,189
109,67,189
109,68,189
109,72,189
109,73,189
109,74,189
109,75,189
109,76,189
109,97,351
109,105,351
109,114,351
110,73,189
110,76,189
110,77,189
110,78,189
110,79,189
110,83,189
110,86,189
110,88,351
110,114,351
111,66,189
111,73,189
111,74,189
111,75,189
111,90,351
112,86,351
112,90,351
112,91,351
112,114,351
112,116,351
113,82,189
113,87,351
113,113,351
114,76,189
114,85,351
114,102,351
115,78,189
115,98,351
115,104,351
116,75,189
116,80,189
116,96,351
116,97,351
117,74,189
117,92,351
117,96,351
117,105,351
118,103,351
118,104,351
118,105,351
118,106,351
119,80,351
119,104,351
119,105,351
119,112,351
119,114,351
120,102,351
120,104,351
120,105,351
120,106,351
120,110,351
121,90,351
121,91,351
121,92,351
121,102,351
121,104,351
121,110,351
121,113,351
121,114,351
122,80,351
122,88,351
122,89,351
122,90,351
122,91,351
122,95,351
122,96,351
122,103,351
122,113,351
123,79,351
123,80,351
123,81,351
123,92,351
123,93,351
123,94,351
123,95,351
123,96,351
123,100,351
124,81,351
124,95,351
124,98,351
124,100,351
125,80,351
125,81,351
125,91,351
125,96,351
125,111,351
126,89,351
126,93,351
126,109,351
126,110,351
127,82,351
127,83,351
127,90,351
127,92,351
127,94,351
128,80,351
128,82,351
128,86,351
128,89,351
128,91,351
128,95,351
128,98,351
128,103,351
129,81,351
129,82,351
129,93,351
129,97,351
129,100,351
131,84,351
132,83,351
132,86,351
132,88,351
132,93,351
133,86,351
133,87,351
133,90,351
134,84,351
134,87,351
134,89,351
134,91,351
134,98,351
134,99,351
134,100,351
135,88,351
135,89,351
135,92,351
135,93,351
135,98,351
135,99,351
136,84,351
136,86,351
136,89,351
136,90,351
137,93,351
137,95,351
138,95,351
139,90,351
141,91,351
