"y","x","cluster_id"
1,162,378
1,164,378
1,165,378
1,166,378
1,167,378
1,168,378
1,169,378
1,179,378
1,189,378
1,192,378
1,195,378
1,206,418
1,207,418
2,160,378
2,161,378
2,162,378
2,163,378
2,164,378
2,165,378
2,166,378
2,167,378
2,168,378
2,169,378
2,170,378
2,174,378
2,180,378
3,160,378
3,165,378
3,166,378
3,167,378
3,168,378
3,175,378
3,176,378
3,178,378
3,192,378
3,193,378
3,194,378
3,209,418
3,210,418
3,211,418
4,160,378
4,166,378
4,167,378
4,175,378
4,176,378
4,177,378
4,178,378
4,191,378
4,192,378
4,193,378
4,195,378
4,201,378
4,202,378
4,210,418
4,211,418
4,212,418
4,213,418
5,166,378
5,167,378
5,174,378
5,177,378
5,192,378
5,208,418
5,211,418
5,212,418
5,213,418
5,214,418
6,172,378
6,173,378
6,177,378
6,182,378
6,188,378
6,193,378
6,195,378
6,215,418
7,159,378
7,172,378
7,173,378
7,178,378
7,179,378
7,180,378
7,181,378
7,192,378
7,193,378
7,194,378
7,195,378
7,214,418
7,215,418
8,159,378
8,179,378
8,180,378
8,191,378
8,192,378
8,193,378
8,194,378
8,195,378
8,204,378
8,205,418
8,215,418
8,216,418
8,217,418
9,159,378
9,167,378
9,174,378
9,181,378
9,192,378
9,193,378
9,194,378
9,195,378
9,196,378
9,206,418
9,218,418
9,219,418
9,220,418
9,221,418
9,222,418
10,169,378
10,179,378
10,181,378
10,182,378
10,192,378
10,193,378
10,194,378
10,195,378
10,206,418
10,220,418
10,221,418
10,222,418
10,223,418
10,224,418
11,158,378
11,159,378
11,168,378
11,169,378
11,170,378
11,178,378
11,180,378
11,192,378
11,193,378
11,194,378
11,195,378
11,220,418
11,221,418
11,222,418
11,223,418
11,224,418
11,225,418
12,158,378
12,159,378
12,164,378
12,168,378
12,169,378
12,180,378
12,191,378
12,192,378
12,193,378
12,194,378
12,195,378
12,219,418
12,222,418
12,223,418
12,224,418
12,226,418
13,170,378
13,184,378
13,187,378
13,188,378
13,193,378
13,194,378
13,195,378
13,218,418
13,219,418
13,220,418
13,222,418
13,223,418
14,165,378
14,167,378
14,184,378
14,187,378
14,188,378
14,189,378
14,193,378
14,194,378
14,195,378
14,196,378
14,233,418
15,165,378
15,166,378
15,167,378
15,168,378
15,184,378
15,194,378
15,195,378
15,196,378
15,224,418
15,235,418
15,236,418
16,165,378
16,166,378
16,167,378
16,179,378
16,193,378
16,194,378
16,197,378
16,198,378
16,200,378
16,201,378
16,202,378
16,206,418
16,207,418
16,208,418
16,210,418
16,211,418
16,215,418
16,216,418
16,234,418
16,235,418
16,236,418
16,237,418
16,238,418
17,166,378
17,167,378
17,172,378
17,180,378
17,195,378
17,201,378
17,202,378
17,203,378
17,206,418
17,207,418
17,209,418
17,210,418
17,211,418
17,219,418
17,220,418
17,221,418
17,224,418
17,235,418
17,236,418
17,237,418
17,238,418
17,239,418
17,240,418
17,241,418
18,166,378
18,167,378
18,168,378
18,169,378
18,173,378
18,192,378
18,194,378
18,195,378
18,197,378
