"y","x","cluster_id"
1,166,172
3,141,172
5,150,172
7,136,172
8,136,172
8,164,172
9,136,172
9,162,172
10,215,172
11,213,172
14,122,172
14,124,172
14,125,172
15,121,172
15,122,172
17,206,172
17,207,172
18,206,172
18,207,172
18,213,172
18,214,172
19,138,172
19,206,172
19,208,172
20,208,172
21,207,172
22,69,1271
22,91,1271
23,73,1271
23,204,172
24,71,1271
25,74,1271
25,233,172
26,202,172
26,225,172
28,101,1271
30,230,172
30,231,172
31,230,172
31,231,172
31,232,172
32,230,172
32,231,172
32,232,172
33,89,1271
33,198,172
33,230,172
35,186,172
36,310,401
36,311,401
37,57,1271
37,83,1271
37,276,985
37,310,401
37,311,401
37,313,401
38,303,401
38,304,401
38,310,401
38,312,401
38,313,401
38,314,401
38,315,401
39,310,401
39,311,401
39,312,401
39,313,401
39,314,401
39,315,401
39,316,401
39,317,401
39,318,401
39,323,401
39,327,401
40,46,1271
40,310,401
40,311,401
40,312,401
40,313,401
40,314,401
40,315,401
40,316,401
40,317,401
40,318,401
40,319,401
40,320,401
40,323,401
40,327,401
41,308,401
41,309,401
41,311,401
41,312,401
41,313,401
41,314,401
41,315,401
41,316,401
41,317,401
41,318,401
41,319,401
41,320,401
41,321,401
42,307,401
42,311,401
42,313,401
42,314,401
42,315,401
42,316,401
42,317,401
42,318,401
42,319,401
42,320,401
42,321,401
42,322,401
43,48,1271
43,131,172
43,134,172
43,164,172
43,309,401
43,310,401
43,313,401
43,314,401
43,315,401
43,317,401
43,318,401
43,319,401
43,320,401
43,321,401
43,322,401
43,323,401
43,330,401
44,314,401
44,315,401
44,316,401
44,317,401
44,320,401
44,322,401
44,323,401
44,325,401
44,331,401
44,332,401
45,143,172
45,215,172
45,277,985
45,298,401
45,319,401
45,322,401
45,323,401
45,324,401
45,325,401
45,326,401
45,331,401
45,333,401
45,336,401
45,337,401
46,53,1271
46,190,172
46,298,401
46,322,401
46,323,401
46,324,401
46,326,401
46,327,401
46,328,401
46,331,401
46,333,401
46,335,401
46,336,401
46,337,401
47,49,1271
47,62,1271
47,120,1271
47,188,172
47,189,172
47,320,401
47,327,401
47,328,401
47,329,401
47,330,401
47,334,401
47,335,401
47,336,401
47,337,401
47,338,401
47,339,401
48,325,401
48,328,401
48,332,401
48,337,401
48,338,401
48,343,401
49,99,1271
49,145,172
49,186,172
49,303,401
49,328,401
49,329,401
49,342,401
49,343,401
49,344,401
50,101,1271
50,304,401
50,330,401
50,336,401
50,337,401
50,338,401
50,339,401
50,340,401
50,342,401
50,343,401
50,344,401
51,276,985
51,288,401
51,289,401
51,290,401
51,335,401
51,336,401
51,337,401
51,338,401
51,339,401
51,340,401
51,341,401
51,342,401
51,343,401
51,344,401
51,345,401
51,346,401
51,347,401
52,49,1271
52,144,172
52,183,172
52,185,172
52,288,401
52,298,401
52,333,401
52,334,401
52,335,401
52,336,401
52,337,401
52,338,401
52,339,401
52,340,401
52,341,401
52,342,401
52,343,401
52,344,401
52,345,401
52,346,401
52,347,401
53,145,172
53,161,172
53,162,172
53,183,172
53,185,172
53,261,985
53,286,401
53,287,401
53,288,401
53,334,401
53,335,401
53,336,401
53,337,401
53,338,401
53,339,401
53,340,401
53,341,401
53,342,401
53,343,401
53,344,401
53,345,401
53,346,401
53,347,401
54,60,1271
54,161,172
54,182,172
54,184,172
54,277,985
54,335,401
54,336,401
54,337,401
54,338,401
54,340,401
54,341,401
54,342,401
54,343,401
54,344,401
54,345,401
54,346,401
54,349,401
55,79,1271
55,93,1271
55,94,1271
55,268,985
55,276,985
55,277,985
55,278,985
55,336,401
55,337,401
55,338,401
55,339,401
55,340,401
55,341,401
55,342,401
55,343,401
55,344,401
55,345,401
55,346,401
55,347,401
55,348,401
55,397,813
55,398,813
56,61,1271
56,93,1271
56,94,1271
56,161,172
56,277,985
56,278,985
56,338,401
56,339,401
56,340,401
56,341,401
56,342,401
56,343,401
56,344,401
56,345,401
56,346,401
56,347,401
56,369,813
56,395,813
56,397,813
56,398,813
56,399,813
57,160,172
57,234,172
57,338,401
57,339,401
57,340,401
57,341,401
57,342,401
57,343,401
57,344,401
57,345,401
57,346,401
57,351,401
57,370,813
57,399,813
57,400,813
58,294,401
58,295,401
58,338,401
58,339,401
58,340,401
58,341,401
58,342,401
58,343,401
58,344,401
58,346,401
58,397,813
58,399,813
59,136,172
59,290,401
59,291,401
59,294,401
59,338,401
59,339,401
59,342,401
59,345,401
59,397,813
59,398,813
59,399,813
59,400,813
59,401,813
60,58,1271
60,183,172
60,232,172
60,262,985
60,279,985
60,357,401
60,382,813
60,383,813
60,398,813
60,403,813
61,118,1271
61,217,172
61,261,985
61,279,985
61,284,985
61,292,401
61,354,401
61,356,401
61,364,401
61,382,813
61,400,813
62,135,172
62,215,172
62,216,172
62,217,172
62,218,172
62,260,985
62,261,985
62,323,401
62,324,401
62,354,401
62,355,401
62,386,813
62,396,813
62,401,813
62,402,813
62,403,813
62,404,813
62,425,813
62,426,813
63,70,1271
63,103,1271
63,152,172
63,214,172
63,215,172
63,216,172
63,217,172
63,277,985
63,306,401
63,324,401
63,340,401
63,341,401
63,354,401
63,399,813
63,402,813
63,403,813
63,404,813
63,406,813
64,42,1271
64,43,1271
64,47,1271
64,113,1271
64,114,1271
64,216,172
64,217,172
64,242,985
64,258,985
64,277,985
64,305,401
64,353,401
64,354,401
64,383,813
64,400,813
64,401,813
64,402,813
64,403,813
64,405,813
64,406,813
64,407,813
64,428,813
65,63,1271
65,110,1271
65,216,172
65,217,172
65,304,401
65,346,401
65,353,401
65,354,401
65,382,813
65,383,813
65,386,813
65,393,813
65,397,813
65,400,813
65,401,813
65,402,813
65,430,813
66,70,1271
66,110,1271
66,215,172
66,216,172
66,217,172
66,268,985
66,271,985
66,305,401
66,307,401
66,352,401
66,375,813
66,383,813
66,384,813
66,400,813
66,401,813
66,402,813
67,48,1271
67,110,1271
67,111,1271
67,167,172
67,168,172
67,215,172
67,216,172
67,258,985
67,265,985
67,266,985
67,267,985
67,269,985
67,298,401
67,307,401
67,310,401
67,342,401
67,381,813
67,384,813
67,416,813
67,421,813
67,423,813
67,431,813
68,111,1271
68,168,172
68,169,172
68,215,172
68,216,172
68,233,985
68,254,985
68,255,985
68,256,985
68,259,985
68,265,985
68,292,985
68,293,401
68,298,401
68,310,401
68,342,401
68,344,401
68,345,401
68,403,813
68,404,813
68,405,813
68,410,813
68,414,813
68,415,813
68,416,813
68,419,813
68,420,813
68,421,813
69,232,985
69,255,985
69,259,985
69,262,985
69,263,985
69,293,401
69,294,401
69,310,401
69,360,401
69,406,813
69,409,813
69,419,813
69,426,813
69,429,813
70,47,1271
70,169,172
70,247,985
70,256,985
70,257,985
70,258,985
70,259,985
70,260,985
70,294,401
70,295,401
70,296,401
70,310,401
70,349,401
70,360,401
70,374,813
70,406,813
70,407,813
70,416,813
