"y","x","cluster_id"
3,179,891
4,180,891
4,181,891
4,244,996
5,135,891
5,137,891
5,171,891
5,172,891
5,173,891
5,174,891
5,175,891
5,176,891
5,179,891
5,248,996
5,249,996
5,253,996
6,136,891
6,137,891
6,143,891
6,169,891
6,170,891
6,171,891
6,172,891
6,173,891
6,174,891
6,175,891
6,176,891
6,235,996
6,240,996
6,248,996
6,249,996
6,251,996
6,252,996
6,254,996
6,255,996
7,132,891
7,136,891
7,137,891
7,140,891
7,169,891
7,171,891
7,172,891
7,173,891
7,176,891
7,181,891
7,237,996
7,240,996
7,241,996
7,242,996
7,243,996
7,247,996
7,248,996
7,249,996
7,253,996
7,254,996
7,255,996
8,136,891
8,137,891
8,170,891
8,181,891
8,237,996
8,240,996
8,241,996
8,242,996
8,245,996
8,246,996
8,247,996
8,248,996
8,250,996
8,252,996
9,137,891
9,169,891
9,170,891
9,174,891
9,181,891
9,233,996
9,234,996
9,235,996
9,236,996
9,237,996
9,238,996
9,239,996
9,240,996
9,241,996
9,242,996
9,243,996
9,247,996
9,248,996
9,249,996
9,251,996
9,257,996
10,131,891
10,135,891
10,136,891
10,137,891
10,140,891
10,160,891
10,171,891
10,175,891
10,231,996
10,232,996
10,233,996
10,234,996
10,235,996
10,236,996
10,237,996
10,240,996
10,241,996
10,242,996
10,247,996
10,248,996
10,252,996
10,254,996
10,255,996
11,130,891
11,131,891
11,160,891
11,161,891
11,162,891
11,179,891
11,230,996
11,231,996
11,232,996
11,235,996
11,237,996
11,241,996
11,247,996
11,248,996
11,253,996
11,254,996
11,255,996
11,257,996
11,258,996
12,130,891
12,131,891
12,135,891
12,143,891
12,144,891
12,158,891
12,160,891
12,161,891
12,162,891
12,163,891
12,171,891
12,177,891
12,228,996
12,229,996
12,242,996
12,243,996
12,244,996
12,245,996
12,246,996
12,252,996
12,253,996
12,256,996
12,257,996
13,129,891
13,132,891
13,161,891
13,162,891
13,169,891
13,176,891
13,178,891
13,227,996
13,228,996
13,229,996
13,246,996
13,249,996
13,251,996
13,252,996
13,253,996
13,256,996
13,261,996
14,129,891
14,130,891
14,134,891
14,142,891
14,163,891
14,168,891
14,169,891
14,177,891
14,200,2503
14,205,2503
14,224,996
14,228,996
14,234,996
14,235,996
14,246,996
14,251,996
14,255,996
14,256,996
14,319,958
14,320,958
14,321,958
14,327,958
14,333,958
15,128,891
15,130,891
15,134,891
15,140,891
15,142,891
15,150,891
15,155,891
15,163,891
15,167,891
15,169,891
15,178,891
15,199,2503
15,200,2503
15,201,2503
15,205,2503
15,233,996
15,246,996
15,249,996
15,250,996
15,291,958
15,292,958
15,294,958
15,295,958
15,307,958
15,311,958
15,319,958
15,325,958
15,330,958
15,331,958
15,336,958
16,129,891
16,130,891
16,138,891
16,152,891
16,153,891
16,155,891
16,156,891
16,164,891
16,178,891
16,199,2503
