"y","x","cluster_id"
12,130,270
13,127,270
15,121,270
15,125,270
16,120,270
16,121,270
17,120,270
17,140,449
19,120,270
19,142,449
20,114,270
20,122,270
20,139,449
20,141,449
20,142,449
21,138,449
21,139,449
22,106,270
22,109,270
22,117,270
22,118,270
22,133,449
22,138,449
22,139,449
22,142,449
22,143,449
23,102,270
23,105,270
23,106,270
23,107,270
23,108,270
23,114,270
23,115,270
23,134,449
23,135,449
23,142,449
24,99,270
24,102,270
24,103,270
24,105,270
24,115,270
24,132,449
25,99,270
25,103,270
25,104,270
25,112,270
25,114,270
26,95,270
26,101,270
26,114,270
26,116,270
27,96,270
27,105,270
27,124,270
27,130,449
28,96,270
28,97,270
28,124,270
31,91,270
32,89,270
32,92,270
32,99,270
33,84,270
33,85,270
33,88,270
33,89,270
33,91,270
34,82,270
34,85,270
34,86,270
34,92,270
34,121,270
34,131,449
34,132,449
34,136,449
34,140,449
35,79,270
35,80,270
35,81,270
35,95,270
35,137,449
35,138,449
35,139,449
35,140,449
35,141,449
36,78,270
36,79,270
36,80,270
36,95,270
36,98,270
36,128,449
36,139,449
36,140,449
36,141,449
36,142,449
37,77,270
37,78,270
37,79,270
37,121,270
37,127,449
37,128,449
37,132,449
37,140,449
37,141,449
37,142,449
37,143,449
38,76,270
38,77,270
38,126,449
38,127,449
38,128,449
38,129,449
38,130,449
38,131,449
38,134,449
39,74,270
39,75,270
39,77,270
39,89,270
39,90,270
39,91,270
39,92,270
39,93,270
39,94,270
39,123,449
39,127,449
39,129,449
39,130,449
40,90,270
40,91,270
40,92,270
40,93,270
40,94,270
40,95,270
40,96,270
40,97,270
40,144,449
41,90,270
41,91,270
41,92,270
41,93,270
41,94,270
41,95,270
42,89,270
42,91,270
42,92,270
42,93,270
42,94,270
42,95,270
42,120,270
42,124,449
42,125,449
43,68,778
43,74,270
43,76,270
43,81,270
43,82,270
43,89,270
43,90,270
43,91,270
43,93,270
43,94,270
43,95,270
43,114,270
43,118,270
43,123,449
43,124,449
43,126,449
44,93,270
44,94,270
44,109,270
44,110,270
44,113,270
44,115,270
44,123,449
44,135,449
45,67,778
45,68,778
45,71,778
45,72,778
45,82,270
45,83,270
45,84,270
45,109,270
45,110,270
45,113,270
45,114,270
45,115,270
45,116,270
45,117,270
45,125,449
45,132,449
45,140,449
45,141,449
45,142,449
46,66,778
46,67,778
46,68,778
46,69,778
46,73,778
46,76,270
46,81,270
46,82,270
46,83,270
46,111,270
46,115,270
46,116,270
46,122,449
46,132,449
46,136,449
46,141,449
46,143,449
46,184,985
47,66,778
47,67,778
47,73,778
47,75,270
47,76,270
47,78,270
47,95,270
47,110,270
47,113,270
47,114,270
47,115,270
47,116,270
47,118,270
47,120,449
47,121,449
47,122,449
47,131,449
47,132,449
47,133,449
47,134,449
47,135,449
47,136,449
47,137,449
47,138,449
47,139,449
47,140,449
47,141,449
47,183,985
47,184,985
47,185,985
48,75,270
