"y","x","cluster_id"
6,291,85
7,263,85
8,262,85
8,263,85
8,265,85
11,262,85
11,263,85
12,262,85
12,319,85
13,259,85
13,260,85
16,258,85
16,301,85
16,332,85
18,303,85
19,301,85
19,303,85
19,305,85
19,316,85
19,320,85
20,250,85
20,319,85
20,336,85
22,317,85
23,301,85
23,311,85
25,303,85
25,310,85
26,307,85
26,308,85
26,309,85
27,245,85
27,248,85
27,297,85
27,307,85
27,308,85
27,330,85
28,239,85
28,240,85
28,250,85
28,251,85
28,305,85
30,164,85
30,166,85
30,292,85
30,295,85
30,301,85
30,308,85
30,309,85
31,228,85
31,294,85
31,295,85
31,296,85
31,300,85
31,301,85
31,310,85
33,300,85
33,309,85
34,228,85
34,289,85
34,291,85
34,293,85
34,309,85
35,240,85
35,289,85
36,274,85
36,314,85
36,319,85
37,174,85
37,314,85
38,165,85
38,176,85
38,297,85
38,308,85
38,314,85
39,233,85
39,236,85
39,315,85
39,318,85
40,236,85
42,274,85
42,345,218
44,276,85
44,277,85
44,279,85
44,321,85
44,339,218
45,275,85
45,304,85
45,310,85
46,276,85
46,277,85
46,278,85
46,304,85
46,321,85
47,276,85
47,277,85
48,277,85
48,313,85
49,277,85
49,348,218
51,272,85
51,273,85
51,304,85
51,346,218
52,158,85
52,272,85
52,284,85
52,334,218
53,272,85
54,287,85
54,336,218
54,337,218
55,231,85
55,272,85
55,284,85
56,101,641
56,102,641
56,291,85
56,292,85
56,365,218
57,99,641
57,101,641
57,157,85
57,286,85
57,291,85
57,340,218
58,287,85
58,291,85
58,306,85
58,345,218
59,91,641
59,264,85
59,265,85
59,289,85
59,290,85
59,291,85
59,305,85
60,289,85
60,290,85
60,291,85
60,304,85
61,288,85
61,290,85
61,309,85
61,344,218
61,349,218
62,230,85
62,288,85
63,186,85
63,231,85
63,308,85
63,349,218
63,371,218
64,289,85
64,307,85
64,308,85
64,345,218
65,290,85
65,351,218
66,308,85
67,291,85
67,307,85
67,331,218
67,335,218
67,357,218
68,291,85
68,300,85
68,304,85
68,308,218
68,359,218
69,184,85
69,344,218
70,78,641
70,292,85
70,293,85
70,294,85
70,295,85
70,307,218
70,308,218
71,294,85
71,340,218
73,293,85
73,294,85
73,301,85
73,302,218
73,382,218
75,354,218
76,298,85
78,78,641
80,297,218
80,357,218
80,358,218
81,111,641
81,300,218
82,353,218
83,240,85
83,298,218
83,300,218
84,295,218
84,302,218
85,295,218
85,321,218
86,188,532
86,287,85
86,372,218
87,283,85
87,364,218
88,286,85
89,88,641
89,288,218
90,335,218
91,298,218
91,396,218
92,79,641
92,289,218
92,448,396
93,333,218
94,190,532
94,300,218
94,406,396
96,283,218
96,295,218
97,227,532
97,332,218
97,431,396
98,330,218
98,431,396
99,282,218
99,283,218
99,328,218
99,354,218
100,282,218
100,302,218
101,190,532
101,292,218
101,293,218
101,303,218
102,325,218
102,388,218
103,302,218
104,291,218
104,303,218
104,354,218
104,367,218
104,448,396
105,191,532
105,381,218
105,432,396
105,433,396
105,447,396
105,448,396
106,191,532
106,380,218
106,461,396
106,465,396
107,159,641
107,171,532
107,315,218
107,436,396
107,472,396
107,474,396
107,492,396
108,183,532
108,339,218
108,448,396
108,460,396
108,461,396
108,472,396
108,488,396
108,492,396
109,278,532
109,309,218
109,329,218
109,336,218
109,445,396
109,470,396
109,473,396
109,487,396
110,264,532
110,352,218
110,372,218
110,467,396
110,483,396
110,485,396
110,488,396
110,491,396
111,429,396
111,477,396
111,484,396
111,486,396
112,302,218
112,486,396
113,312,218
113,317,218
113,386,218
113,454,396
113,463,396
113,464,396
113,481,396
113,483,396
113,484,396
113,485,396
114,266,532
114,300,218
114,301,218
114,375,218
114,463,396
114,465,396
114,482,396
114,484,396
115,70,641
115,310,218
115,343,218
115,374,218
