"y","x","cluster_id"
1,271,96
1,272,96
2,270,96
2,271,96
3,270,96
6,272,96
11,396,156
13,225,96
14,212,96
14,271,96
14,272,96
15,273,96
16,272,96
17,201,96
17,210,96
17,223,96
17,369,156
19,241,96
19,245,96
19,266,96
20,232,96
20,235,96
20,238,96
20,245,96
21,219,96
21,221,96
21,248,96
21,252,96
21,357,156
22,222,96
23,208,96
23,402,156
26,253,96
26,394,156
27,252,96
28,182,205
28,267,96
28,269,96
28,270,96
29,322,156
29,331,156
30,268,96
31,215,96
33,250,96
33,253,96
33,254,96
33,255,96
33,274,96
33,275,96
33,320,156
33,322,156
34,246,96
34,249,96
34,253,96
34,254,96
34,255,96
34,256,96
35,163,205
35,246,96
35,247,96
35,256,96
35,272,96
35,273,96
36,238,96
36,245,96
36,273,96
36,314,96
37,178,205
37,228,96
37,257,96
37,392,156
38,338,156
39,156,205
39,272,96
40,180,205
41,156,205
41,238,96
41,239,96
42,193,205
42,255,96
43,255,96
44,252,96
44,254,96
44,277,96
44,398,156
45,175,205
45,205,96
46,138,205
46,205,96
46,219,96
46,253,96
46,274,96
47,204,96
47,205,96
47,206,96
47,249,96
48,145,205
48,193,205
48,248,96
48,275,96
49,132,205
49,386,156
50,190,205
50,196,205
50,226,96
51,273,96
51,392,156
52,392,156
54,209,96
55,174,205
55,228,96
55,308,96
55,390,156
56,176,205
56,213,96
56,260,96
57,235,96
57,269,96
58,137,205
58,259,96
59,260,96
60,260,96
61,231,96
61,260,96
61,269,96
62,198,205
62,232,96
62,248,96
62,312,156
63,216,96
63,265,96
64,258,96
65,185,205
65,196,205
65,218,96
65,224,96
66,197,205
66,208,205
66,221,96
66,224,96
66,229,96
66,330,156
67,219,96
68,173,205
68,174,205
68,176,205
68,219,96
68,265,96
68,292,96
69,313,156
70,175,205
70,209,205
70,267,96
71,209,205
71,210,205
71,370,156
72,207,205
74,260,96
76,148,205
76,312,156
77,173,205
77,221,96
78,132,205
78,150,205
78,243,96
78,337,156
79,150,205
80,203,205
80,234,96
80,263,96
80,314,156
81,230,96
82,147,205
82,400,156
83,146,205
84,124,205
85,143,205
86,142,205
87,349,156
88,118,205
88,119,205
88,187,205
88,422,156
90,144,205
90,168,205
90,169,205
90,190,205
90,205,205
91,169,205
91,170,205
91,171,205
91,172,205
91,186,205
91,285,96
91,289,96
91,295,96
92,119,205
92,170,205
92,171,205
92,423,156
93,240,96
93,416,156
94,210,205
95,167,205
96,181,205
97,153,205
97,187,205
98,427,156
99,152,205
99,199,205
99,200,205
99,217,205
100,143,205
101,186,205
101,217,205
101,232,205
101,233,205
101,389,156
102,228,205
102,232,205
102,233,205
102,295,517
102,329,156
102,332,156
102,353,156
103,143,205
103,189,205
103,200,205
104,181,205
104,187,205
104,370,156
104,396,156
105,184,205
105,185,205
105,186,205
105,191,205
105,226,205
105,405,156
106,188,205
106,357,156
107,192,205
107,194,205
107,198,205
108,225,205
109,159,205
109,189,205
110,199,205
111,194,205
111,259,96
111,381,156
112,188,205
112,204,205
112,280,517
112,400,156
113,192,205
114,179,205
114,187,205
114,196,205
114,210,205
115,192,205
115,199,205
115,202,205
115,225,205
115,427,156
116,252,536
116,273,517
117,249,536
117,426,156
118,250,536
118,251,536
120,199,205
120,399,156
121,236,536
121,368,156
123,207,205
124,170,205
124,203,205
124,278,517
125,182,205
125,186,205
126,378,156
128,196,205
128,219,536
129,177,205
129,243,536
131,262,517
132,188,205
133,188,205
133,189,205
133,262,517
134,188,205
134,254,536
135,187,205
135,241,536
135,393,156
135,415,156
136,160,205
136,161,205
136,279,517
136,280,517
137,279,517
137,281,517
137,290,517
138,238,536
138,280,517
139,203,536
139,219,536
139,235,536
139,238,536
139,280,517
139,293,517
139,322,517
140,239,536
140,281,517
140,343,517
140,370,517
141,239,536
141,288,517
142,259,536
142,323,517
143,323,517
143,324,517
143,325,517
144,198,536
144,199,536
144,265,517
144,324,517
144,325,517
144,326,517
144,327,517
144,328,517
145,130,205
145,135,205
145,151,205
145,197,536
145,198,536
145,199,536
145,284,517
145,286,517
145,293,517
145,294,517
145,325,517
145,326,517
145,327,517
145,328,517
145,329,517
146,197,536
146,198,536
146,247,536
146,281,517
146,282,517
146,285,517
146,291,517
146,292,517
146,293,517
146,302,517
146,326,517
146,327,517
146,329,517
147,288,517
147,291,517
147,292,517
147,293,517
147,294,517
147,296,517
147,304,517
147,326,517
147,327,517
147,328,517
147,330,517
147,331,517
148,284,517
148,288,517
148,292,517
148,293,517
148,294,517
148,326,517
148,327,517
148,328,517
148,329,517
148,332,517
149,255,536
149,256,536
149,280,517
149,288,517
149,289,517
149,292,517
149,293,517
149,294,517
149,295,517
149,326,517
149,327,517
149,329,517
149,330,517
149,340,517
150,253,536
150,266,517
150,281,517
150,284,517
150,285,517
150,293,517
150,296,517
150,331,517
150,368,517
151,169,536
151,174,536
151,179,536
151,284,517
151,297,517
151,298,517
151,331,517
151,412,156
152,175,536
152,197,536
152,210,536
152,290,517
152,296,517
152,331,517
152,383,517
153,132,800
153,178,536
153,180,536
153,184,536
153,194,536
153,217,536
153,296,517
153,297,517
153,298,517
153,331,517
154,132,800
154,133,800
154,296,517
154,297,517
154,298,517
154,301,517
154,408,156
155,201,536
155,203,536
155,258,536
155,296,517
156,296,517
156,298,517
156,299,517
156,304,517
157,135,800
157,203,536
157,290,517
157,296,517
157,300,517
157,305,517
157,307,517
158,175,536
158,204,536
158,296,517
158,297,517
158,304,517
159,169,536
159,187,536
159,188,536
159,296,517
159,297,517
159,301,517
159,303,517
159,304,517
159,306,517
159,307,517
160,188,536
160,203,536
160,268,517
160,294,517
160,295,517
160,302,517
160,303,517
160,402,939
161,198,536
161,199,536
161,200,536
161,203,536
161,252,536
161,303,517
161,305,517
161,306,517
161,307,517
162,173,536
162,178,536
162,191,536
162,198,536
162,302,517
162,304,517
162,305,517
162,307,517
162,362,517
163,201,536
163,305,517
163,307,517
164,153,536
164,241,536
164,245,536
164,303,517
164,304,517
164,305,517
164,306,517
165,193,536
165,261,517
165,296,517
165,304,517
165,305,517
165,309,517
165,365,517
166,189,536
166,239,536
166,251,536
166,296,517
166,298,517
166,299,517
166,306,517
166,308,517
167,146,800
167,299,517
167,305,517
167,306,517
167,337,517
167,431,939
168,164,536
168,250,536
168,299,517
168,303,517
169,298,517
169,300,517
169,412,939
170,295,517
170,296,517
170,345,517
171,216,536
172,166,536
172,214,536
172,303,517
172,437,939
173,283,517
174,190,536
174,347,517
175,144,800
175,431,939
176,149,800
176,301,517
177,298,517
177,353,517
178,298,517
179,401,939
179,405,939
179,420,939
179,432,939
180,127,800
180,200,536
180,201,536
180,212,536
180,213,536
180,214,536
180,241,536
180,298,517
180,299,517
180,344,517
180,401,939
180,421,939
181,258,536
181,299,517
182,145,800
182,206,536
182,250,536
183,296,517
183,297,517
183,298,517
183,441,939
184,138,800
184,186,536
184,199,536
184,200,536
184,298,517
184,299,517
184,346,517
184,426,939
185,206,536
185,292,517
185,298,517
185,299,517
185,388,939
185,430,939
186,233,536
186,236,536
186,297,517
186,406,939
187,141,800
187,142,800
187,151,800
187,298,517
187,299,517
187,300,517
187,344,517
187,345,517
187,377,517
188,139,800
188,142,800
188,186,536
188,298,517
188,299,517
188,342,517
188,350,517
189,64,800
189,139,800
189,142,800
189,150,800
189,241,536
189,242,536
189,243,536
189,290,517
189,291,517
189,299,517
189,300,517
190,139,800
190,168,536
190,295,517
190,300,517
191,299,517
191,301,517
192,170,536
192,296,517
192,299,517
192,300,517
192,301,517
192,342,517
192,356,517
192,357,517
193,42,800
193,127,800
193,132,800
193,135,800
193,138,800
193,181,536
193,226,536
193,298,517
193,299,517
193,300,517
193,301,517
193,344,517
194,243,536
194,299,517
194,300,517
194,301,517
194,302,517
194,343,517
195,299,517
195,301,517
195,302,517
195,364,517
196,231,536
196,299,517
196,301,517
196,302,517
196,303,517
196,343,517
196,355,517
196,394,939
197,198,536
197,238,536
197,302,517
197,303,517
198,65,800
198,232,536
198,300,517
198,301,517
198,303,517
198,304,517
199,66,800
199,230,536
199,231,536
199,300,517
199,302,517
199,304,517
199,305,517
199,306,517
199,377,939
200,218,536
200,301,517
200,302,517
200,304,517
200,305,517
200,306,517
200,308,517
201,197,536
201,305,517
201,306,517
201,307,517
201,319,517
202,58,800
202,74,800
202,198,536
202,219,536
202,221,536
202,305,517
202,309,517
202,312,517
202,347,517
202,448,939
203,70,800
203,198,536
203,229,536
203,233,536
203,235,536
203,243,536
203,245,536
203,312,517
203,315,517
203,405,939
203,448,939
204,69,800
204,232,536
204,308,517
204,321,517
205,46,800
205,97,800
205,139,800
205,208,536
205,210,536
205,256,536
205,257,536
205,299,517
205,317,517
205,411,939
206,114,800
206,212,536
206,215,536
206,216,536
206,238,536
206,250,536
207,49,800
207,50,800
207,114,800
207,154,800
207,161,800
207,212,536
207,346,517
207,412,939
208,49,800
208,56,800
208,106,800
208,109,800
208,249,536
208,433,939
209,106,800
209,107,800
209,195,536
209,261,536
209,436,939
209,437,939
210,55,800
210,93,800
210,104,800
210,118,800
210,119,800
210,229,536
210,235,536
210,269,517
210,430,939
211,53,800
211,55,800
211,158,800
211,426,939
212,63,800
212,85,800
212,86,800
212,103,800
212,104,800
212,119,800
212,158,800
212,229,536
213,63,800
213,88,800
213,106,800
213,158,800
213,160,800
213,161,800
213,162,800
213,346,517
213,444,939
214,68,800
214,86,800
214,105,800
214,106,800
214,148,800
214,161,800
214,238,536
214,346,517
214,348,517
215,51,800
215,92,800
215,101,800
215,161,800
215,165,800
215,166,800
216,114,800
216,161,800
216,164,800
216,165,800
216,328,517
216,345,517
216,347,517
216,348,517
217,75,800
217,99,800
217,165,800
217,327,517
217,328,517
217,344,517
217,347,517
217,348,517
217,457,939
218,90,800
218,99,800
218,100,800
