"y","x","cluster_id"
33,270,126
35,276,126
35,277,126
35,278,126
36,273,126
36,278,126
37,260,126
37,273,126
37,274,126
37,277,126
37,278,126
37,279,126
38,256,126
38,257,126
38,272,126
38,273,126
39,255,126
39,271,126
39,272,126
39,273,126
39,274,126
39,275,126
40,271,126
40,272,126
40,273,126
41,272,126
42,229,434
43,292,126
44,288,126
45,257,126
45,289,126
45,291,126
46,205,434
46,264,126
46,288,126
46,289,126
46,290,126
46,333,460
47,265,126
47,268,126
47,276,126
48,258,126
48,259,126
48,261,126
48,262,126
48,289,126
48,300,126
48,321,460
48,325,460
49,218,434
49,258,126
49,259,126
49,272,126
49,282,126
50,277,126
50,288,126
50,303,126
50,304,126
51,275,126
51,277,126
51,287,126
52,254,126
52,255,126
52,279,126
52,280,126
52,283,126
53,188,434
53,272,126
53,297,126
54,263,126
54,279,126
54,280,126
54,297,126
55,183,434
55,268,126
55,297,126
55,343,460
56,205,434
56,244,126
56,286,126
56,287,126
56,298,126
56,299,126
56,335,460
57,244,126
57,251,126
57,253,126
57,259,126
57,286,126
57,287,126
57,293,126
57,297,126
58,191,434
58,279,126
58,293,126
58,295,126
58,308,126
58,336,460
58,337,460
59,192,434
59,254,126
59,336,460
60,188,434
60,190,434
60,214,434
60,254,126
60,296,126
61,184,434
61,185,434
61,235,434
61,250,126
61,253,126
61,254,126
61,286,126
61,287,126
61,288,126
61,289,126
61,293,126
61,294,126
62,183,434
62,231,434
62,232,434
62,272,126
62,273,126
62,274,126
62,275,126
62,281,126
62,282,126
62,284,126
62,285,126
62,287,126
63,184,434
63,231,434
63,232,434
63,250,126
63,269,126
63,273,126
63,311,126
64,229,434
64,230,434
64,231,434
64,301,126
64,312,126
64,315,460
64,338,460
65,226,434
65,284,126
65,285,126
65,302,126
65,315,460
65,335,460
66,312,126
66,333,460
66,334,460
66,335,460
67,221,434
67,222,434
67,238,434
67,239,434
67,310,126
67,333,460
68,187,434
68,198,434
68,219,434
68,220,434
68,236,434
68,237,434
68,283,126
68,332,460
68,333,460
68,334,460
69,193,434
69,194,434
69,195,434
69,215,434
69,261,126
69,283,126
69,310,126
69,314,460
69,315,460
69,333,460
69,335,460
69,349,460
69,360,460
70,193,434
70,194,434
70,198,434
70,202,434
70,203,434
70,221,434
70,234,434
70,257,126
70,313,460
70,354,460
71,155,871
71,190,434
71,191,434
71,218,434
71,220,434
71,233,434
71,258,126
71,259,126
71,292,126
71,315,460
71,334,460
71,335,460
72,179,434
72,193,434
72,215,434
72,216,434
72,217,434
72,218,434
72,226,434
72,234,434
72,251,126
72,256,126
72,259,126
72,284,126
72,290,126
72,291,126
72,301,126
72,304,126
72,315,460
72,318,460
72,319,460
72,323,460
72,334,460
72,340,460
72,341,460
73,186,434
73,194,434
73,257,126
73,308,126
73,317,460
73,324,460
73,333,460
73,358,460
74,178,434
74,191,434
74,203,434
74,204,434
74,243,434
74,256,126
74,263,126
74,264,126
74,305,126
74,332,460
74,333,460
74,334,460
74,335,460
74,339,460
74,340,460
75,173,434
75,174,434
75,176,434
75,181,434
75,201,434
75,212,434
75,214,434
75,215,434
75,225,434
75,226,434
75,230,434
75,245,434
75,250,126
75,253,126
75,254,126
75,256,126
75,260,126
75,306,126
75,308,126
75,331,460
75,332,460
75,333,460
75,340,460
76,180,434
76,215,434
76,225,434
76,246,434
76,256,126
76,259,126
76,359,460
77,170,871
77,171,871
77,179,434
77,224,434
77,229,434
77,230,434
77,237,434
77,298,126
77,340,460
77,342,460
77,345,460
77,351,460
78,142,871
78,165,871
78,170,871
78,177,434
78,180,434
78,208,434
78,209,434
78,211,434
78,224,434
78,231,434
78,255,126
78,300,126
78,332,460
78,337,460
78,345,460
78,350,460
78,351,460
78,356,460
79,199,434
79,222,434
79,251,126
79,325,460
79,336,460
79,337,460
80,217,434
80,218,434
80,240,434
80,241,434
80,259,126
80,329,460
80,330,460
80,336,460
80,337,460
81,184,434
81,219,434
81,246,434
81,319,460
81,320,460
81,329,460
81,335,460
81,336,460
82,211,434
82,212,434
82,213,434
82,214,434
82,220,434
82,223,434
82,240,434
82,244,434
82,245,434
82,248,434
82,249,434
82,275,126
82,290,126
82,321,460
83,204,434
83,211,434
83,233,434
83,234,434
83,240,434
83,245,434
83,246,434
83,253,126
83,258,126
83,274,126
83,299,126
83,348,460
84,172,871
84,173,871
84,174,871
84,175,871
84,176,871
84,232,434
84,233,434
84,241,434
84,242,434
84,247,434
84,251,126
84,263,126
84,280,126
84,356,460
85,148,871
85,164,871
85,174,871
85,188,434
85,189,434
85,193,434
85,206,434
85,230,434
85,245,434
85,252,126
85,288,126
85,305,460
85,332,460
85,357,460
86,155,871
86,194,434
86,202,434
86,229,434
86,231,434
86,242,434
86,245,434
86,246,434
86,269,126
86,275,126
86,289,126
86,317,460
86,337,460
86,339,460
86,361,460
87,206,434
87,218,434
87,219,434
87,223,434
87,230,434
87,232,434
87,247,434
87,324,460
87,330,460
87,335,460
87,340,460
87,360,460
88,197,434
88,202,434
88,203,434
88,221,434
88,222,434
88,270,126
88,272,126
88,283,126
88,325,460
88,334,460
88,335,460
88,338,460
88,353,460
89,136,871
89,201,434
89,202,434
89,207,434
89,218,434
89,219,434
89,221,434
89,223,434
89,228,434
89,231,434
89,337,460
89,339,460
89,340,460
89,345,460
89,349,460
89,354,460
89,356,460
89,362,460
90,168,871
90,201,434
90,202,434
90,203,434
90,204,434
90,205,434
90,206,434
90,217,434
90,229,434
90,336,460
90,337,460
90,340,460
90,342,460
90,343,460
90,344,460
90,345,460
90,347,460
90,351,460
90,358,460
90,360,460
90,361,460
91,168,871
91,201,434
91,202,434
91,203,434
91,204,434
91,209,434
91,213,434
91,222,434
91,325,460
91,337,460
91,338,460
91,339,460
91,345,460
91,346,460
91,356,460
91,359,460
91,360,460
92,200,434
92,201,434
92,202,434
92,204,434
92,210,434
92,236,434
92,334,460
92,338,460
92,348,460
92,356,460
92,359,460
92,360,460
93,200,434
93,201,434
93,203,434
93,204,434
93,210,434
93,211,434
93,212,434
93,216,434
93,217,434
93,235,434
93,334,460
94,144,871
94,202,434
94,220,434
94,231,434
94,334,460
94,359,460
94,361,460
95,144,871
95,214,434
95,216,434
95,225,434
95,250,434
95,251,434
95,333,460
95,342,460
95,362,460
95,363,460
96,143,871
96,144,871
96,149,871
96,218,434
96,247,434
96,333,460
96,334,460
96,350,460
96,360,460
96,362,460
97,149,871
97,162,871
97,210,434
97,234,434
97,362,460
97,363,460
98,212,434
98,220,434
98,359,460
98,360,460
99,158,871
99,334,460
99,350,460
99,359,460
99,361,460
99,364,460
100,198,434
100,211,434
100,327,460
100,333,460
100,343,460
100,363,460
101,128,871
101,137,871
101,207,434
101,210,434
101,211,434
101,355,460
101,361,460
101,364,460
102,127,871
102,149,871
102,175,871
102,176,871
102,209,434
102,211,434
102,282,126
102,363,460
103,123,871
103,124,871
103,125,871
103,150,871
103,152,871
103,164,871
103,175,871
103,178,871
103,211,434
103,212,434
103,248,434
103,282,126
103,325,460
103,364,460
104,124,871
104,125,871
104,126,871
104,151,871
104,171,871
104,172,871
104,249,434
104,277,126
104,281,126
104,361,460
105,159,871
105,176,871
105,196,434
105,220,434
105,248,434
105,364,460
106,157,871
106,161,871
106,365,460
106,366,460
107,122,871
107,142,871
107,144,871
107,153,871
107,160,871
107,220,434
107,367,460
108,141,871
108,171,871
108,173,871
108,177,871
108,201,434
108,202,434
108,203,434
108,298,460
108,366,460
108,368,460
109,138,871
109,139,871
109,140,871
