"y","x","cluster_id"
20,59,131
20,60,131
24,68,131
29,427,58
30,85,131
30,99,131
30,357,58
30,453,58
31,85,131
31,363,58
32,452,58
33,377,58
33,452,58
34,91,131
35,100,131
36,177,188
36,317,188
36,327,58
37,461,58
38,114,131
38,456,58
39,228,188
39,457,58
40,458,58
41,455,58
42,387,58
42,466,58
43,170,188
44,216,188
44,252,188
44,360,58
47,464,58
48,182,188
49,407,58
51,237,188
54,445,58
55,51,131
55,62,131
55,419,58
56,48,131
56,139,131
56,140,131
58,57,131
59,56,131
59,58,131
59,286,188
59,412,58
60,56,131
60,285,188
60,441,58
61,56,131
61,60,131
61,61,131
62,55,131
62,414,58
63,56,131
63,244,188
63,441,58
63,472,58
64,58,131
64,234,188
65,56,131
65,58,131
65,67,131
65,109,131
65,253,188
65,416,58
66,57,131
66,106,131
67,66,131
67,106,131
67,199,188
67,470,58
68,263,188
68,266,188
68,390,58
69,68,131
69,418,58
70,59,131
70,62,131
70,66,131
70,67,131
70,469,58
71,67,131
71,269,188
72,65,131
72,68,131
72,72,131
72,104,131
72,421,58
72,462,58
73,61,131
73,64,131
73,66,131
73,149,253
73,397,58
73,412,58
73,471,58
74,407,58
74,464,58
74,475,58
75,100,131
76,65,131
76,67,131
76,90,131
76,120,131
76,412,58
77,67,131
77,98,131
77,139,131
77,442,58
77,446,58
78,84,131
78,99,131
78,139,131
78,411,58
78,438,58
78,455,58
78,460,58
79,66,131
79,109,131
79,352,58
79,448,58
80,135,131
80,447,58
81,92,131
81,95,131
81,117,131
81,118,131
81,440,58
82,75,131
82,182,188
84,76,131
84,93,131
85,98,131
86,441,58
88,70,131
88,97,131
88,227,188
89,57,131
89,94,131
89,447,58
89,451,58
90,113,131
90,128,253
90,178,188
91,87,131
91,179,188
92,87,131
92,88,131
93,98,131
93,123,131
94,140,253
94,450,58
95,121,131
96,88,131
96,122,253
98,251,188
100,184,188
101,27,131
101,74,131
101,76,131
101,127,253
101,153,253
102,62,131
102,88,131
102,132,253
103,122,253
103,123,253
103,177,188
104,51,131
104,63,131
104,125,253
104,126,253
104,258,188
105,67,131
105,145,253
105,352,58
106,148,253
106,222,188
106,278,188
107,123,253
107,124,253
107,127,253
107,148,253
108,162,253
108,483,58
111,233,188
111,484,58
114,140,253
115,57,131
115,147,253
115,230,188
116,71,131
116,137,253
116,147,253
116,184,188
116,220,188
117,179,253
117,228,188
117,236,188
118,82,131
118,230,188
118,231,188
119,173,253
119,211,188
120,138,253
120,170,253
120,171,253
121,53,131
121,151,253
121,172,253
121,229,188
122,92,131
122,219,188
123,129,253
123,138,253
123,172,253
123,201,188
124,54,131
125,142,253
126,165,253
126,214,188
126,231,188
127,164,253
127,215,188
129,145,253
129,146,253
129,167,253
129,197,188
129,214,188
130,157,253
130,212,188
131,114,253
131,136,253
131,140,253
132,127,253
132,175,253
133,93,253
133,153,253
134,36,131
136,216,188
137,130,253
137,131,253
137,147,253
137,191,188
138,125,253
138,130,253
138,297,188
138,438,382
140,145,253
141,165,253
142,131,253
142,165,253
142,179,253
142,387,382
144,64,131
144,97,253
144,145,253
144,418,382
145,95,253
145,145,253
145,194,188
145,418,382
146,96,253
146,142,253
146,153,253
146,184,253
146,448,382
146,453,382
147,41,131
147,68,253
147,100,253
147,142,253
147,145,253
147,446,382
147,447,382
149,96,253
149,158,253
149,445,382
149,452,382
149,462,382
150,141,253
150,150,253
152,343,382
153,117,253
153,147,253
153,191,188
153,344,382
153,457,382
153,458,382
154,88,253
154,93,253
154,154,253
154,166,253
154,321,188
154,327,188
154,475,382
155,89,253
155,133,253
155,147,253
155,155,253
155,193,188
155,203,188
155,456,382
156,191,188
156,291,188
156,436,382
156,437,382
156,459,382
156,474,382
157,118,253
157,129,253
158,25,131
158,48,131
158,474,382
159,96,253
159,101,253
159,145,253
159,147,253
159,150,253
159,469,382
159,477,382
160,160,253
161,122,253
161,313,188
161,462,382
161,466,382
161,467,382
162,125,253
162,204,188
162,456,382
162,457,382
163,126,253
163,150,253
163,456,382
163,457,382
164,55,253
164,106,253
164,461,382
165,56,253
165,94,253
165,158,253
165,159,253
165,468,382
165,476,382
166,139,253
166,409,382
166,468,382
167,122,253
167,366,382
167,424,382
168,455,382
169,190,253
169,423,382
170,160,253
170,441,382
172,56,253
172,167,253
172,292,188
172,415,382
173,407,382
173,429,382
173,452,382
173,455,382
174,406,382
175,436,382
175,468,382
176,98,253
176,413,382
176,448,382
176,454,382
176,457,382
176,466,382
176,479,382
178,410,382
178,431,382
178,437,382
178,438,382
178,440,382
179,429,382
179,444,382
180,430,382
180,443,382
181,383,382
182,387,382
182,451,382
183,321,930
183,342,930
183,344,930
183,345,930
183,375,382
183,405,382
183,455,382
184,102,253
184,301,930
185,450,382
186,108,253
186,269,541
187,446,382
188,267,541
189,106,253
190,397,382
190,400,382
192,91,253
192,184,541
192,256,541
192,438,382
192,441,382
193,300,930
194,93,253
194,183,541
194,419,382
195,454,382
195,456,382
196,454,382
196,456,382
196,457,382
197,312,930
198,484,382
199,106,253
199,347,876
199,462,382
200,358,876
200,486,382
201,257,541
202,98,253
202,256,541
203,478,382
204,82,253
204,252,541
204,481,382
205,258,541
205,260,541
205,462,382
205,482,382
206,333,930
206,334,930
207,187,541
207,333,930
207,459,382
207,462,382
208,149,541
208,213,541
208,437,382
208,466,382
209,183,541
209,191,541
209,211,541
209,217,541
209,218,541
209,457,382
209,468,382
209,492,382
210,86,253
210,485,382
211,186,541
211,187,541
211,211,541
211,216,541
211,217,541
211,251,541
212,208,541
212,237,541
212,251,541
213,184,541
213,204,541
214,181,541
214,205,541
214,206,541
214,458,382
215,168,541
215,207,541
215,208,541
215,214,541
216,78,253
216,203,541
216,481,382
217,162,541
217,245,541
218,214,541
218,226,541
218,501,382
219,201,541
219,213,541
219,214,541
220,165,541
220,172,541
220,202,541
220,210,541
220,224,541
221,200,541
222,214,541
222,419,382
222,502,382
222,503,382
225,164,541
225,174,541
225,246,541
227,174,541
227,212,541
227,213,541
227,222,541
227,251,541
227,413,876
228,177,541
228,213,541
228,214,541
228,392,876
229,170,541
229,212,541
229,213,541
229,220,541
229,228,541
230,173,541
230,175,541
230,196,541
230,197,541
230,314,930
231,175,541
231,199,541
231,223,541
231,314,930
231,503,1137
232,197,541
232,221,541
232,228,541
232,324,930
232,325,930
233,229,541
233,321,930
233,324,930
233,325,930
233,326,930
234,70,253
234,196,541
234,228,541
234,324,930
234,325,930
234,326,930
235,211,541
235,221,541
235,226,541
235,227,541
235,230,541
235,236,541
235,324,930
235,325,930
235,326,930
235,404,876
236,169,541
236,170,541
236,219,541
236,221,541
236,413,876
237,222,541
237,227,541
238,75,253
238,172,541
238,217,541
238,218,541
238,221,541
238,222,541
238,223,541
238,225,541
238,228,541
238,229,541
238,422,876
239,173,541
239,219,541
239,220,541
239,221,541
240,83,253
240,169,541
240,214,541
240,220,541
240,238,541
241,82,253
241,168,541
241,170,541
241,217,541
241,218,541
242,173,541
242,174,541
242,175,541
242,177,541
242,207,541
242,216,541
242,227,541
242,314,930
242,417,876
242,481,1137
243,168,541
243,222,541
243,226,541
244,201,541
244,225,541
244,232,541
244,336,930
245,89,253
245,202,541
245,223,541
245,224,541
245,225,541
245,248,541
245,318,930
245,349,930
245,355,876
246,168,541
246,219,541
246,220,541
246,221,541
246,226,541
246,231,541
246,233,541
246,293,930
246,316,930
246,318,930
247,87,253
247,168,541
247,219,541
247,220,541
247,221,541
247,225,541
247,230,541
247,306,930
247,360,876
247,423,1137
248,166,541
248,168,541
248,216,541
248,220,541
248,222,541
248,230,541
248,289,930
248,318,930
248,360,876
248,363,876
248,368,876
248,382,876
248,403,876
248,413,876
248,439,1137
248,453,1137
248,467,1137
249,213,541
249,215,541
249,216,541
249,217,541
249,232,541
249,358,876
249,368,876
249,436,1137
250,210,541
250,231,541
250,232,541
250,242,541
250,311,930
250,312,930
250,368,876
250,460,1137
251,229,541
251,293,930
251,309,930
251,310,930
251,311,930
251,312,930
251,313,930
251,314,930
251,315,930
251,316,930
251,361,876
251,368,876
252,229,541
252,230,541
252,232,541
252,293,930
252,294,930
252,295,930
252,308,930
252,309,930
252,310,930
252,316,930
252,361,876
252,362,876
252,499,1137
253,293,930
253,295,930
253,296,930
253,307,930
253,308,930
253,309,930
253,315,930
253,316,930
253,353,876
253,361,876
253,362,876
253,438,1137
254,286,930
254,292,930
254,293,930
254,294,930
254,295,930
254,296,930
254,307,930
254,308,930
254,315,930
254,316,930
254,319,930
254,360,876
254,361,876
254,370,876
254,371,876
254,453,1137
254,490,1137
255,219,541
255,292,930
255,293,930
255,294,930
255,296,930
255,306,930
255,307,930
255,316,930
255,361,876
255,363,876
255,364,876
255,370,876
255,373,876
255,434,1137
255,443,1137
255,456,1137
256,217,541
256,220,541
256,249,541
256,291,930
256,292,930
256,296,930
256,306,930
256,307,930
256,315,930
256,316,930
256,360,876
256,376,876
256,378,876
257,231,541
257,235,541
257,269,1350
257,314,930
257,315,930
257,316,930
257,358,876
257,367,876
257,368,876
257,375,876
257,378,876
257,463,1137
258,233,541
258,279,930
258,313,930
258,314,930
258,315,930
258,368,876
258,375,876
258,378,876
258,442,1137
259,220,541
259,268,1350
259,313,930
259,314,930
259,344,930
259,374,876
259,381,876
259,394,876
259,406,876
259,464,1137
260,217,541
260,218,541
260,221,541
260,305,930
260,306,930
260,312,930
260,313,930
260,314,930
260,344,930
260,354,876
260,371,876
260,380,876
260,462,1137
260,490,1137
261,288,930
261,289,930
261,290,930
261,304,930
261,306,930
261,307,930
261,308,930
261,310,930
261,311,930
261,312,930
261,313,930
261,344,930
261,345,930
261,379,876
261,380,876
261,423,1137
261,424,1137
262,289,930
262,305,930
262,306,930
262,307,930
262,308,930
262,309,930
262,310,930
262,311,930
262,312,930
262,323,930
262,342,930
262,343,930
262,344,930
262,375,876
262,376,876
262,377,876
262,379,876
262,380,876
262,381,876
262,385,876
262,456,1137
263,239,541
263,305,930
263,306,930
263,307,930
263,308,930
263,309,930
263,310,930
263,311,930
263,341,930
263,342,930
263,343,930
263,344,930
263,351,930
263,376,876
263,377,876
263,378,876
263,379,876
263,380,876
263,382,876
263,383,876
263,384,876
263,386,876
263,387,876
263,388,876
264,304,930
264,305,930
264,306,930
264,307,930
264,308,930
264,309,930
264,310,930
264,311,930
264,342,930
264,343,930
264,377,876
264,389,876
264,407,876
264,434,1137
264,438,1137
264,448,1137
265,304,930
265,305,930
265,306,930
265,307,930
265,308,930
265,309,930
265,341,930
265,342,930
265,382,876
265,450,1137
265,452,1137
266,304,930
266,305,930
266,306,930
266,307,930
266,308,930
266,310,930
266,334,930
266,340,930
266,342,930
266,376,876
266,377,876
266,429,1137
266,432,1137
266,433,1137
266,450,1137
266,453,1137
267,221,541
267,295,930
267,305,930
267,335,930
267,340,930
267,341,930
267,342,930
267,396,876
267,434,1137
267,453,1137
268,244,1350
268,274,1350
268,329,930
268,337,930
268,340,930
268,362,876
268,382,876
268,395,876
268,442,1137
268,451,1137
269,214,541
269,236,1350
269,302,930
269,314,930
269,324,930
269,361,876
269,362,876
269,363,876
269,365,876
269,366,876
269,376,876
269,382,876
269,386,876
270,213,541
270,284,930
270,323,930
270,324,930
270,330,930
270,332,930
270,362,876
270,364,876
270,365,876
270,383,876
270,384,876
270,391,876
270,394,876
270,395,876
270,396,876
270,435,1137
270,438,1137
270,467,1137
271,195,541
271,331,930
271,339,930
271,340,930
271,363,876
271,373,876
271,374,876
271,375,876
271,376,876
271,391,876
271,434,1137
272,241,1350
272,323,930
272,329,930
272,330,930
272,371,876
272,372,876
272,373,876
272,374,876
272,376,876
272,377,876
272,378,876
272,386,876
272,390,876
272,407,876
272,436,1137
273,261,1350
273,319,930
273,322,930
273,325,930
273,328,930
273,329,930
273,330,930
273,337,930
273,373,876
273,378,876
273,380,876
273,400,876
273,438,1137
273,455,1137
274,324,930
274,325,930
274,328,930
274,329,930
274,330,930
274,334,930
274,341,930
274,380,876
274,381,876
274,385,876
274,462,1137
274,474,1137
275,245,1350
275,321,930
275,323,930
275,324,930
275,326,930
275,327,930
275,328,930
275,329,930
275,330,930
275,331,930
275,332,930
275,334,930
275,335,930
275,341,930
275,342,930
275,381,876
275,382,876
275,384,876
275,423,1137
275,457,1137
276,322,930
276,323,930
276,324,930
276,325,930
276,326,930
276,327,930
276,328,930
276,329,930
276,330,930
276,332,930
276,341,930
276,342,930
276,382,876
276,383,876
276,435,1137
276,449,1137
276,472,1137
276,484,1137
277,257,1350
277,281,1350
277,311,930
277,323,930
277,324,930
277,325,930
277,326,930
277,330,930
277,383,876
277,384,876
277,458,1137
278,318,930
278,319,930
278,322,930
278,324,930
278,325,930
278,383,876
278,384,876
278,423,1137
278,456,1137
278,474,1137
279,246,1350
279,323,930
279,324,930
279,344,930
279,401,876
279,410,876
279,463,1137
279,486,1137
280,211,541
280,319,930
280,320,930
280,323,930
280,324,930
280,325,930
280,335,930
280,343,930
280,350,930
280,387,876
280,441,1137
281,315,930
281,316,930
281,322,930
281,323,930
281,324,930
281,325,930
281,326,930
281,329,930
281,330,930
281,332,930
281,333,930
281,334,930
281,335,930
281,343,930
281,344,930
281,345,930
281,346,930
281,347,930
281,386,876
281,387,876
281,388,876
281,444,1137
281,473,1137
282,315,930
282,323,930
282,324,930
282,325,930
282,326,930
282,327,930
282,328,930
282,330,930
282,336,930
282,344,930
282,346,930
282,347,930
282,350,930
282,351,930
282,387,876
282,394,876
282,415,1137
282,417,1137
282,454,1137
282,472,1137
283,255,1350
283,272,1350
283,288,930
283,318,930
283,323,930
283,324,930
283,325,930
283,327,930
283,329,930
283,331,930
283,332,930
283,347,930
283,387,876
283,388,876
283,390,876
283,393,876
283,394,876
283,438,1137
283,448,1137
284,203,541
284,206,1350
284,312,930
284,317,930
284,319,930
284,323,930
284,324,930
284,326,930
284,327,930
284,328,930
284,330,930
284,336,930
284,343,930
284,348,930
284,388,876
284,391,876
284,393,876
284,394,876
284,395,876
284,419,1137
284,427,1137
284,477,1137
285,201,541
285,216,1350
285,243,1350
285,332,930
285,350,930
285,359,876
285,399,876
285,477,1137
286,205,1350
286,337,930
286,347,930
286,411,876
286,424,1137
287,205,1350
287,206,1350
287,207,1350
287,332,930
287,334,930
287,335,930
287,424,1137
287,425,1137
288,206,1350
288,207,1350
288,208,1350
288,332,930
288,470,1137
289,208,1350
289,209,1350
289,292,930
289,420,1137
289,421,1137
289,476,1137
290,256,1350
290,310,930
290,331,930
290,333,930
290,376,876
290,421,1137
290,422,1137
290,424,1137
290,425,1137
290,429,1137
290,462,1137
290,476,1137
291,221,1350
291,333,930
291,418,1137
291,423,1137
291,424,1137
291,447,1137
292,330,930
292,331,930
293,222,1350
293,260,1350
293,307,930
293,327,930
293,328,930
293,329,930
293,330,930
293,332,930
293,435,1137
293,462,1137
293,476,1137
294,219,1350
294,221,1350
294,223,1350
294,301,930
294,302,930
294,309,930
294,310,930
294,329,930
294,330,930
294,331,930
294,334,930
294,335,930
294,419,1137
294,420,1137
294,422,1137
294,423,1137
294,424,1137
295,293,930
295,294,930
295,295,930
295,310,930
295,312,930
295,327,930
295,329,930
295,330,930
295,331,930
295,332,930
295,335,930
295,422,1137
295,424,1137
295,437,1137
295,462,1137
296,274,1350
296,275,1350
296,309,930
296,311,930
296,312,930
296,313,930
296,314,930
296,323,930
296,328,930
296,329,930
296,330,930
296,334,930
296,437,1137
296,441,1137
296,452,1137
297,266,1350
297,267,1350
297,268,1350
297,269,1350
297,273,1350
297,274,1350
297,275,1350
297,312,930
297,313,930
297,325,930
297,326,930
297,329,930
297,423,1137
297,424,1137
297,437,1137
297,444,1137
297,445,1137
298,261,1350
298,264,1350
298,265,1350
298,269,1350
298,271,1350
298,272,1350
298,273,1350
298,274,1350
298,275,1350
298,312,930
298,320,930
298,321,930
298,326,930
298,336,930
298,425,1137
298,442,1137
298,444,1137
299,255,1350
299,263,1350
299,264,1350
299,265,1350
299,266,1350
299,267,1350
299,268,1350
299,269,1350
299,272,1350
299,273,1350
299,274,1350
299,319,930
299,425,1137
299,426,1137
299,432,1137
299,438,1137
300,264,1350
300,265,1350
300,266,1350
300,267,1350
300,320,930
300,353,930
300,425,1137
300,432,1137
300,434,1137
300,472,1137
300,473,1137
301,274,1350
301,353,930
301,427,1137
301,428,1137
301,429,1137
301,432,1137
301,437,1137
301,440,1137
301,450,1137
302,263,1350
302,273,1350
302,275,1350
302,316,930
302,433,1137
302,441,1137
302,448,1137
302,449,1137
302,452,1137
303,245,1350
303,250,1350
303,263,1350
303,273,1350
303,274,1350
303,275,1350
303,276,1350
304,239,1350
304,248,1350
304,461,1137
305,224,1350
305,230,1350
305,233,1350
305,235,1350
305,236,1350
305,241,1350
305,247,1350
305,248,1350
305,251,1350
305,252,1350
305,438,1137
305,461,1137
306,219,1350
306,227,1350
306,230,1350
306,231,1350
306,232,1350
306,233,1350
306,234,1350
306,235,1350
306,236,1350
306,237,1350
306,240,1350
306,243,1350
306,244,1350
306,248,1350
306,250,1350
306,251,1350
306,254,1350
306,264,1350
306,265,1350
306,270,1350
306,271,1350
306,439,1137
306,447,1137
306,460,1137
306,461,1137
307,230,1350
307,231,1350
307,233,1350
307,234,1350
307,235,1350
307,236,1350
307,237,1350
307,251,1350
307,252,1350
307,253,1350
307,262,1350
307,263,1350
307,264,1350
307,270,1350
308,231,1350
308,232,1350
308,234,1350
308,260,1350
308,261,1350
308,262,1350
308,263,1350
308,336,930
308,450,1137
309,233,1350
309,261,1350
309,262,1350
309,267,1350
309,268,1350
310,261,1350
310,263,1350
310,266,1350
310,267,1350
310,268,1350
310,449,1137
310,463,1137
310,471,1137
311,267,1350
311,268,1350
311,450,1137
312,450,1137
313,267,1350
313,472,1137
314,344,930
315,373,876
316,391,876
316,472,1137
317,474,1137
318,473,1137
318,474,1137
320,362,876
320,476,1137
322,224,1350
323,218,1350
326,238,1350
327,254,1350
329,249,1350
330,332,930
331,269,1350
331,332,930
333,247,1350
334,230,1350
334,236,1350
335,230,1350
336,260,1350
337,258,1350
