"y","x","cluster_id"
25,398,177
25,400,177
26,375,177
27,366,177
27,367,177
27,373,177
27,375,177
27,391,177
28,365,177
28,374,177
28,375,177
29,365,177
30,367,177
30,383,177
30,384,177
31,348,177
31,359,177
31,366,177
31,367,177
31,387,177
32,348,177
32,359,177
32,361,177
32,366,177
32,369,177
32,390,177
32,391,177
33,342,177
33,343,177
33,347,177
33,349,177
33,358,177
33,359,177
33,366,177
33,378,177
33,379,177
33,389,177
33,390,177
33,398,177
34,340,177
34,341,177
34,342,177
34,343,177
34,347,177
34,348,177
34,357,177
34,358,177
34,359,177
34,360,177
34,366,177
34,380,177
34,382,177
34,389,177
34,390,177
35,340,177
35,341,177
35,342,177
35,347,177
35,348,177
35,357,177
35,358,177
35,365,177
35,380,177
35,382,177
35,389,177
35,394,177
36,340,177
36,341,177
36,342,177
36,344,177
36,347,177
36,357,177
36,358,177
36,364,177
36,382,177
36,388,177
36,389,177
36,390,177
37,340,177
37,341,177
37,342,177
37,350,177
37,358,177
37,382,177
37,389,177
37,390,177
38,341,177
38,347,177
38,363,177
38,390,177
39,334,177
39,342,177
39,358,177
39,399,177
40,341,177
40,346,177
40,357,177
40,362,177
40,383,177
40,393,177
41,331,177
41,339,177
41,341,177
41,342,177
41,357,177
41,362,177
41,382,177
41,388,177
41,393,177
42,339,177
42,342,177
42,346,177
42,358,177
42,362,177
42,394,177
42,397,177
42,403,177
43,342,177
43,343,177
43,349,177
43,355,177
43,356,177
43,357,177
43,359,177
43,360,177
43,362,177
43,383,177
43,384,177
43,395,177
43,403,177
44,343,177
44,346,177
44,355,177
44,356,177
44,357,177
44,358,177
44,359,177
44,360,177
44,362,177
44,384,177
45,337,177
45,343,177
45,346,177
45,355,177
45,359,177
45,360,177
45,383,177
45,384,177
45,396,177
45,402,177
46,338,177
46,359,177
46,360,177
46,380,177
46,384,177
46,385,177
46,386,177
47,176,883
47,177,883
47,318,177
47,359,177
47,363,177
48,359,177
48,360,177
49,312,177
49,354,177
49,360,177
50,344,177
50,359,177
50,360,177
50,377,177
50,378,177
50,408,177
50,409,177
51,408,177
51,409,177
52,360,177
52,408,177
53,354,177
53,384,177
53,416,177
54,323,177
54,342,177
54,345,177
54,355,177
55,253,883
55,305,177
55,330,177
55,345,177
55,354,177
55,384,177
56,305,177
56,344,177
56,384,177
57,150,701
57,330,177
57,344,177
57,385,177
57,386,177
