"y","x","cluster_id"
1,59,68
72,170,68
73,169,68
73,170,68
73,171,68
73,172,68
73,173,68
73,174,68
74,168,68
74,169,68
74,170,68
74,171,68
74,172,68
74,173,68
75,170,68
75,171,68
75,172,68
75,173,68
75,174,68
93,192,68
94,191,68
94,192,68
95,190,68
95,191,68
95,192,68
96,191,68
99,79,68
102,63,68
102,198,68
103,197,68
103,198,68
105,194,68
106,240,194
110,63,68
111,63,68
112,63,68
112,163,68
113,63,68
113,162,68
117,108,68
119,109,68
119,226,68
120,133,68
122,88,68
123,100,68
123,102,68
123,114,68
124,101,68
124,114,68
125,114,68
125,115,68
126,196,68
126,197,68
126,198,68
126,199,68
127,106,68
127,166,68
127,169,68
127,197,68
127,198,68
131,245,194
132,86,68
132,244,194
132,245,194
139,76,68
139,77,68
142,335,194
145,124,68
145,168,68
147,294,194
147,295,194
150,322,194
153,199,68
154,291,194
155,79,68
155,80,68
155,81,68
156,81,68
156,277,194
156,279,194
157,276,194
157,277,194
157,278,194
157,279,194
157,280,194
158,279,194
158,280,194
158,281,194
158,289,194
160,65,68
163,256,194
163,257,194
164,40,68
164,85,68
165,41,68
168,298,194
168,301,194
169,206,276
169,207,276
169,208,276
169,209,276
169,299,194
169,300,194
169,301,194
170,74,68
170,75,68
170,294,194
170,296,194
170,299,194
170,300,194
170,301,194
170,302,194
171,294,194
171,295,194
171,296,194
171,297,194
171,301,194
171,302,194
171,303,194
172,295,194
172,296,194
172,297,194
172,302,194
172,303,194
173,69,68
173,70,68
173,297,194
173,298,194
174,69,68
175,291,194
175,292,194
176,146,68
176,292,194
177,292,194
177,293,194
177,294,194
178,139,68
178,293,194
178,295,194
178,315,194
179,122,68
179,140,68
179,141,68
180,121,68
180,122,68
180,123,68
180,140,68
180,141,68
180,142,68
180,185,276
181,123,68
181,124,68
181,140,68
181,141,68
181,142,68
181,217,276
181,218,276
182,123,68
182,139,68
182,140,68
182,141,68
182,142,68
182,183,276
183,106,68
183,122,68
183,139,68
183,140,68
183,141,68
183,183,276
184,104,68
184,105,68
184,106,68
184,129,68
184,140,68
184,141,68
184,283,194
184,284,194
185,103,68
185,104,68
185,105,68
185,106,68
185,284,194
185,285,194
186,104,68
186,105,68
186,106,68
