"y","x","cluster_id"
37,283,52
41,166,137
42,267,52
42,269,52
43,165,137
49,297,52
50,298,52
52,82,137
53,300,52
55,309,52
59,89,137
60,330,52
61,332,52
62,338,52
64,327,52
64,329,52
64,337,52
64,339,52
64,340,52
64,352,52
65,329,52
65,335,52
65,339,52
66,318,52
66,337,52
66,339,52
67,311,52
67,336,52
72,322,52
72,368,52
73,348,52
73,355,52
73,368,52
74,335,52
75,368,52
76,137,137
76,367,52
77,360,52
77,377,52
78,344,52
79,393,141
79,395,141
79,400,141
80,371,52
80,397,141
81,329,52
81,379,52
81,384,52
82,343,52
82,403,141
82,413,141
83,343,52
83,380,52
83,383,52
83,393,141
83,402,141
83,413,141
84,117,137
84,380,52
84,389,141
85,327,52
85,383,52
85,403,141
85,423,141
85,424,141
86,327,52
86,382,52
86,410,141
86,411,141
86,422,141
86,424,141
87,384,141
87,386,141
87,413,141
87,422,141
89,396,141
89,406,141
90,389,141
90,401,141
91,379,52
91,380,52
91,428,141
92,380,52
92,417,141
93,415,141
93,425,141
93,429,141
94,364,52
94,428,141
94,429,141
94,430,141
95,396,141
95,427,141
95,428,141
95,429,141
95,430,141
96,361,52
96,391,141
96,394,141
96,396,141
96,397,141
96,435,141
97,141,137
97,379,52
97,385,141
97,392,141
97,430,141
97,435,141
97,436,141
98,409,141
98,436,141
99,361,52
99,371,52
99,398,141
100,108,137
100,418,141
100,419,141
100,446,141
100,447,141
101,437,141
101,438,141
101,446,141
101,448,141
102,438,141
102,439,141
103,425,141
103,442,141
103,453,141
104,421,141
105,126,137
105,128,137
106,123,137
106,124,137
106,125,137
106,126,137
106,417,141
107,121,137
107,123,137
107,124,137
107,125,137
107,417,141
108,124,137
108,125,137
108,391,141
109,390,141
109,391,141
109,405,141
110,377,141
111,332,52
111,349,52
111,414,141
113,330,52
113,445,141
113,447,141
113,448,141
114,446,141
114,449,141
115,446,141
116,403,141
117,350,52
117,403,141
117,405,141
117,438,141
117,439,141
118,439,141
118,440,141
119,400,141
119,439,141
119,440,141
120,400,141
120,403,141
120,418,141
120,440,141
121,403,141
121,404,141
121,418,141
121,442,141
123,347,52
123,415,141
124,345,52
124,346,52
124,347,52
124,414,141
124,425,141
125,66,137
125,412,141
126,347,52
127,347,230
127,348,230
128,373,230
128,374,230
128,432,141
130,390,141
131,302,52
131,349,230
131,402,141
131,403,141
132,302,52
132,303,52
132,402,141
132,439,141
134,355,230
135,458,141
135,459,141
137,413,141
141,413,141
142,326,230
143,342,230
143,412,141
144,388,230
145,390,230
146,335,230
146,342,230
146,400,230
147,377,230
147,423,141
148,385,230
149,329,230
149,419,141
150,329,230
153,438,141
154,325,230
157,408,230
158,344,230
159,328,230
159,340,230
161,409,230
161,427,141
163,415,230
164,368,230
165,382,230
166,285,230
166,327,230
166,438,141
166,441,141
167,441,141
168,81,137
168,331,230
168,340,230
168,433,141
168,434,141
169,419,230
170,419,230
170,435,141
170,436,141
173,351,230
174,430,230
175,406,230
176,407,230
180,316,230
181,384,230
182,384,230
182,386,230
183,366,230
183,367,230
183,407,230
184,407,230
185,393,230
185,409,230
188,337,230
190,370,230
190,371,230
191,371,230
192,95,137
192,323,230
193,398,230
198,357,230
199,109,137
199,306,230
200,355,230
204,357,230
209,356,230
213,336,230
216,72,137
218,84,297
219,344,230
221,67,137
221,103,297
221,256,297
222,67,137
231,194,297
231,254,297
232,193,297
232,194,297
232,195,297
236,100,297
236,279,297
239,232,297
240,232,297
241,240,297
242,239,297
243,127,297
244,127,297
244,230,297
245,230,297
246,268,297
248,197,297
250,239,297
250,240,297
251,238,297
254,233,297
255,231,297
260,232,297
264,194,297
265,282,341
268,196,297
280,317,341
281,195,297
289,102,297
289,199,297
295,232,297
308,287,341
310,251,341
310,316,341
310,328,341
310,329,341
313,315,341
314,321,341
315,311,341
315,320,341
316,319,341
316,320,341
317,156,297
317,308,341
318,242,341
318,300,341
318,302,341
318,336,341
321,253,341
322,296,341
322,384,341
324,249,341
326,309,341
326,310,341
327,295,341
327,316,341
327,317,341
327,319,341
328,293,341
328,301,341
329,306,341
329,331,341
330,315,341
332,348,341
334,299,341
334,315,341
335,264,341
339,377,341
342,334,341
343,297,341
344,297,341
345,149,297
349,300,341
352,245,341
354,301,341
355,185,297
355,300,341
357,303,341
358,258,341
360,376,341
361,306,341
362,291,341
362,417,341
370,342,341
385,287,341
387,286,341
388,286,341
388,287,341
390,288,341
390,289,341
408,264,341
