"y","x","cluster_id"
19,74,7
19,81,7
33,116,7
33,117,7
34,116,7
34,117,7
38,58,7
39,52,7
39,53,7
40,49,7
40,52,7
41,47,7
41,52,7
50,38,7
50,106,7
51,38,7
52,110,7
55,36,7
56,36,7
56,37,7
57,105,7
57,111,7
57,112,7
58,35,7
58,36,7
58,41,7
58,106,7
58,107,7
59,36,7
59,40,7
60,35,7
60,37,7
60,38,7
60,43,7
60,98,7
61,30,7
61,36,7
61,37,7
62,37,7
63,113,7
66,485,66
69,88,7
70,481,66
71,477,66
72,28,7
72,52,7
73,37,7
74,512,66
75,44,7
75,51,7
76,50,7
76,51,7
76,89,7
77,109,7
86,515,66
86,516,66
87,450,66
87,451,66
87,515,66
87,516,66
88,446,66
88,450,66
89,445,66
89,446,66
89,449,66
90,449,66
102,434,66
102,512,66
103,432,66
103,433,66
104,432,66
105,432,66
105,437,66
106,432,66
106,502,66
107,431,66
107,432,66
107,433,66
107,434,66
108,433,66
109,508,66
110,49,7
110,501,66
110,507,66
110,508,66
110,509,66
111,503,66
112,494,66
112,495,66
118,425,66
118,507,66
122,438,66
124,445,66
124,446,66
126,447,66
141,420,66
156,485,66
