"y","x","cluster_id"
8,16,7
13,42,7
14,9,7
18,46,36
23,25,7
24,14,7
26,14,7
28,25,7
32,52,36
33,49,36
35,12,7
35,53,36
35,57,36
36,8,7
36,57,36
37,46,36
37,49,36
38,48,36
38,56,36
40,4,7
40,8,7
43,67,36
44,53,36
44,67,36
46,65,36
46,66,36
47,74,36
48,47,36
48,52,36
48,69,36
48,70,36
48,72,36
48,76,36
49,27,7
49,48,36
49,54,36
50,51,36
50,74,36
51,46,36
51,69,36
52,47,36
52,68,36
55,37,36
56,17,70
59,7,70
59,69,36
61,45,36
62,7,70
62,52,36
62,61,36
66,10,70
66,41,36
68,9,70
68,45,36
68,46,36
68,47,36
69,11,70
69,47,36
69,51,36
70,12,70
72,13,70
73,12,70
73,14,70
74,14,70
74,15,70
75,15,70
75,16,70
76,15,70
77,15,70
77,16,70
77,40,70
77,41,70
79,39,70
80,16,70
81,16,70
88,17,70
88,26,70
89,20,70
89,25,70
89,26,70
90,20,70
91,22,70
