"y","x","cluster_id"
21,204,93
22,149,93
22,205,93
22,444,480
24,202,93
25,172,93
25,202,93
26,170,93
26,207,93
27,155,93
27,200,93
27,464,480
27,465,480
28,184,93
29,145,93
29,154,93
29,155,93
29,185,93
29,188,93
29,190,93
30,142,93
30,150,93
30,151,93
30,152,93
30,192,93
31,150,93
31,151,93
31,193,93
31,194,93
31,195,93
31,196,93
32,146,93
32,150,93
32,180,93
32,194,93
32,195,93
32,196,93
32,197,93
33,146,93
33,195,93
33,196,93
34,145,93
34,181,93
34,185,93
34,186,93
34,195,93
35,191,93
36,185,93
36,187,93
36,193,93
36,194,93
37,187,93
37,188,93
37,189,93
37,190,93
38,188,93
38,189,93
38,190,93
38,191,93
39,189,93
39,190,93
40,189,93
40,190,93
41,189,93
41,396,329
42,189,93
43,186,93
43,189,93
43,190,93
44,186,93
44,187,93
44,188,93
44,189,93
44,410,775
45,186,93
45,187,93
45,188,93
45,189,93
45,190,93
45,372,329
45,394,329
46,186,93
46,190,93
47,190,93
47,216,93
47,379,329
47,380,329
47,388,329
47,392,329
48,404,329
49,408,775
51,403,775
52,187,93
52,190,93
53,166,93
53,192,93
54,152,93
54,153,93
54,165,93
54,225,93
54,361,329
54,364,329
54,365,329
54,367,329
54,394,329
55,360,329
55,361,329
55,362,329
55,390,329
55,399,329
56,155,93
56,188,93
56,194,93
56,362,329
57,356,329
57,357,329
58,156,93
58,362,329
58,366,329
59,166,93
59,357,329
59,360,329
59,362,329
59,363,329
59,366,329
60,186,93
60,360,329
60,362,329
60,387,329
61,193,93
61,344,329
61,348,329
61,359,329
61,361,329
61,362,329
62,189,93
62,198,93
62,339,329
62,340,329
62,344,329
62,345,329
62,362,329
63,160,93
63,338,329
63,339,329
63,340,329
63,341,329
63,342,329
63,357,329
64,159,93
64,160,93
64,161,93
64,241,586
64,332,329
64,333,329
64,335,329
64,336,329
64,337,329
64,338,329
64,339,329
64,342,329
64,343,329
64,354,329
64,355,329
64,367,329
65,188,93
65,189,93
65,190,93
65,322,329
65,324,329
65,330,329
65,333,329
65,334,329
65,336,329
65,337,329
65,338,329
65,340,329
65,341,329
65,342,329
65,343,329
65,345,329
65,348,329
65,354,329
65,355,329
65,360,329
65,366,329
65,367,329
66,188,93
66,189,93
66,199,93
66,331,329
66,332,329
66,333,329
66,334,329
66,335,329
66,342,329
66,343,329
66,345,329
66,362,329
67,189,93
67,197,93
67,324,329
67,329,329
67,331,329
67,333,329
67,335,329
67,337,329
67,338,329
67,346,329
67,360,329
67,362,329
67,373,329
68,190,93
68,325,329
68,328,329
68,330,329
68,331,329
68,332,329
68,333,329
68,334,329
69,190,93
69,207,93
69,300,329
69,329,329
69,332,329
69,362,329
69,363,329
69,367,329
69,368,329
69,410,775
70,155,93
70,189,93
70,190,93
70,208,93
70,305,329
70,362,329
70,367,329
71,189,93
71,190,93
71,305,329
71,307,329
71,308,329
71,309,329
71,329,329
71,363,329
71,366,329
71,368,329
72,190,93
72,191,93
72,201,93
72,328,329
72,330,329
72,365,329
72,367,329
72,368,329
72,370,329
72,371,329
72,380,329
73,73,1166
73,190,93
73,191,93
73,329,329
73,360,329
73,366,329
73,367,329
73,369,329
73,382,329
73,383,329
73,384,329
73,385,775
73,405,775
74,190,93
74,191,93
74,238,586
74,323,329
74,324,329
74,370,329
74,384,775
74,387,775
74,388,775
75,179,93
75,190,93
75,332,329
75,382,329
75,484,480
75,485,480
76,180,93
76,259,586
76,345,329
76,376,329
76,390,775
76,395,775
76,399,775
76,405,775
76,475,480
76,486,480
76,488,480
77,191,93
77,231,586
77,258,586
77,333,329
77,384,775
77,399,775
77,415,775
77,482,480
77,484,480
78,186,93
78,334,329
78,388,775
78,389,775
78,402,775
79,189,93
79,190,93
79,214,586
79,215,586
79,282,329
79,379,329
79,391,775
80,215,586
80,261,586
80,281,329
80,333,329
80,348,329
80,386,775
80,395,775
80,484,480
81,145,93
81,332,329
81,338,329
81,391,775
82,190,93
82,214,586
82,215,586
82,250,586
82,329,329
82,386,775
82,391,775
82,470,480
82,474,480
82,483,480
83,159,93
83,196,93
83,207,586
83,212,586
83,227,586
83,482,480
83,485,480
84,169,93
84,170,93
84,171,93
84,173,93
84,183,93
84,201,586
84,275,586
84,397,775
84,478,480
84,481,480
84,482,480
85,146,93
85,176,93
85,183,93
85,217,586
85,333,329
85,475,480
85,477,480
85,478,480
85,479,480
85,483,480
86,177,93
86,187,93
86,193,93
86,207,586
86,393,775
86,397,775
86,486,480
87,150,93
87,186,93
87,192,93
87,221,586
87,222,586
87,265,586
87,302,329
87,311,329
87,324,329
87,392,775
87,494,480
88,180,93
88,192,586
88,221,586
88,239,586
88,276,586
88,305,329
88,474,480
88,481,480
88,482,480
88,484,480
89,281,329
89,285,329
89,323,329
89,333,329
89,338,329
89,397,775
90,181,93
90,182,93
90,187,93
90,189,586
90,227,586
90,237,586
90,317,329
90,336,329
91,181,93
91,182,93
91,207,586
91,235,586
91,262,586
91,304,329
91,332,329
91,392,775
91,393,775
92,182,93
92,229,586
92,299,329
92,301,329
92,326,329
92,334,329
92,488,480
93,203,586
93,233,586
93,238,586
93,300,329
93,309,329
93,389,775
93,478,480
94,266,586
94,301,329
94,306,329
94,314,329
94,323,329
94,330,329
94,392,775
94,393,775
94,492,480
95,165,93
95,220,586
95,224,586
95,228,586
95,236,586
95,281,329
95,329,329
96,180,586
96,181,586
96,236,586
96,281,329
96,294,329
96,306,329
96,313,329
96,325,329
96,330,329
97,184,586
97,209,586
97,282,329
97,304,329
97,331,329
97,334,329
97,336,329
97,337,329
97,369,775
97,397,775
97,398,775
98,184,586
98,301,329
98,302,329
98,306,329
98,312,329
98,325,329
98,328,329
98,342,329
98,378,775
98,380,775
98,482,480
98,491,480
99,184,586
99,230,586
99,313,329
99,316,329
99,318,329
99,319,329
99,320,329
99,330,329
99,378,775
99,482,480
100,230,586
100,233,586
100,235,586
100,253,586
100,272,586
100,323,329
100,324,329
100,325,329
100,327,329
100,328,329
100,329,329
100,330,329
100,331,329
100,337,329
100,382,775
100,394,775
100,400,775
100,484,480
101,274,586
101,324,329
101,326,329
101,327,329
101,329,329
101,337,329
101,343,329
101,379,775
101,389,775
101,390,775
101,401,775
101,408,775
101,475,480
101,483,480
102,64,1166
102,181,586
102,243,586
102,246,586
102,297,329
102,301,329
102,312,329
102,319,329
102,320,329
102,324,329
102,326,329
102,327,329
102,328,329
102,331,329
102,332,329
102,333,329
102,348,329
102,366,775
102,388,775
103,181,586
103,246,586
103,326,329
103,327,329
103,328,329
103,332,329
103,341,329
103,347,329
103,381,775
103,408,775
103,480,480
103,483,480
104,180,586
104,246,586
104,261,586
104,272,586
104,296,329
104,323,329
104,329,329
104,338,329
104,386,775
104,412,775
104,479,480
104,483,480
105,37,1166
105,66,1166
105,179,586
105,237,586
105,261,586
105,268,586
105,320,329
105,329,329
105,343,329
105,375,775
105,385,775
105,387,775
105,388,775
105,389,775
105,390,775
105,391,775
105,420,775
105,484,480
105,489,480
106,222,586
106,248,586
106,374,775
106,376,775
106,384,775
106,387,775
106,388,775
106,404,775
106,477,480
107,245,586
107,352,329
107,395,775
107,481,480
107,485,480
108,212,586
108,245,586
108,258,586
108,314,329
108,347,329
108,376,775
108,380,775
108,400,775
108,402,775
109,176,586
109,198,586
109,246,586
109,255,586
109,270,586
109,308,329
109,310,329
109,381,775
109,403,775
109,421,775
109,493,480
110,193,586
