"y","x","cluster_id"
14,260,236
15,273,236
16,266,236
17,262,236
17,282,236
18,181,175
18,262,236
18,267,236
19,250,236
19,259,236
19,287,236
20,243,236
20,244,236
21,237,236
21,243,236
22,286,236
22,287,236
23,288,236
23,293,236
23,298,236
25,159,175
25,174,175
25,236,236
25,288,236
26,145,175
26,146,175
26,149,175
26,150,175
26,155,175
26,174,175
26,245,236
26,253,236
27,143,175
27,145,175
27,146,175
27,147,175
27,148,175
27,156,175
27,227,236
28,143,175
28,146,175
28,147,175
28,255,236
29,147,175
29,153,175
29,231,236
29,234,236
30,150,175
30,151,175
30,152,175
30,153,175
30,154,175
31,148,175
31,149,175
31,150,175
31,152,175
31,153,175
31,154,175
31,157,175
31,291,236
32,149,175
32,150,175
32,151,175
32,152,175
32,153,175
32,154,175
32,155,175
33,151,175
33,152,175
33,154,175
33,158,175
33,159,175
33,160,175
33,218,175
33,281,236
34,260,236
34,304,236
35,163,175
35,165,175
35,258,236
35,278,236
36,152,175
36,164,175
36,165,175
36,219,175
36,256,236
36,312,236
37,165,175
37,166,175
37,168,175
37,174,175
37,227,236
37,271,236
38,153,175
38,163,175
38,167,175
38,168,175
38,182,175
38,228,236
38,229,236
39,167,175
39,182,175
39,224,236
40,223,236
40,224,236
41,183,175
41,184,175
41,271,236
42,172,175
42,173,175
42,183,175
42,184,175
42,270,236
42,271,236
42,272,236
43,167,175
43,171,175
43,172,175
43,245,236
43,259,236
43,269,236
43,270,236
43,315,767
44,171,175
44,183,175
44,268,236
44,269,236
44,270,236
44,271,236
44,272,236
44,273,236
44,274,236
44,315,767
44,316,767
45,168,175
45,169,175
45,170,175
45,171,175
45,172,175
45,182,175
45,183,175
45,184,175
45,254,236
45,265,236
45,268,236
45,271,236
45,272,236
45,273,236
45,301,236
45,313,767
45,316,767
46,170,175
46,175,175
46,181,175
46,183,175
46,184,175
46,185,175
46,186,175
46,187,175
46,188,175
46,221,236
46,270,236
46,271,236
46,273,236
46,300,236
46,301,236
46,302,236
46,306,236
47,151,175
47,152,175
47,154,175
47,155,175
47,156,175
47,169,175
47,171,175
47,183,175
47,186,175
47,187,175
47,188,175
47,189,175
47,268,236
47,269,236
47,300,236
47,301,236
48,154,175
48,155,175
48,156,175
48,169,175
48,187,175
48,188,175
48,258,236
48,259,236
48,260,236
48,270,236
48,300,236
49,170,175
49,184,175
49,185,175
49,186,175
49,187,175
49,188,175
49,189,175
49,217,175
49,257,236
49,258,236
49,259,236
49,260,236
49,269,236
49,300,236
49,313,767
49,320,767
50,184,175
50,185,175
50,186,175
50,187,175
50,188,175
50,189,175
50,257,236
50,258,236
50,259,236
50,267,236
51,184,175
51,186,175
51,187,175
51,188,175
51,189,175
51,191,175
51,248,236
51,260,236
51,274,236
52,259,236
52,262,236
52,268,236
52,269,236
53,264,236
53,266,236
53,268,236
53,282,236
53,284,236
54,183,175
54,187,175
54,188,175
54,219,236
54,243,236
54,244,236
54,276,236
54,278,236
54,280,236
54,281,236
54,296,236
54,300,236
55,170,175
55,171,175
55,182,175
55,184,175
55,187,175
55,191,175
55,192,175
55,218,894
55,277,236
55,286,236
55,301,236
56,168,175
56,170,175
56,171,175
56,172,175
56,184,175
56,185,175
56,189,175
56,192,175
56,246,236
56,247,236
56,267,236
56,269,236
56,270,236
56,272,236
56,301,236
57,184,175
57,190,175
57,191,175
57,192,175
57,193,175
57,246,236
57,247,236
57,276,236
57,298,236
57,299,236
57,323,767
58,168,175
58,169,175
58,173,175
58,175,175
58,190,175
58,191,175
58,192,175
58,193,175
58,201,175
58,203,175
58,217,894
58,231,236
58,247,236
58,248,236
58,249,236
58,270,236
58,271,236
58,272,236
58,281,236
59,183,175
59,189,175
59,190,175
59,191,175
59,249,236
59,276,236
59,297,236
60,164,175
60,188,175
60,274,236
60,276,236
60,337,767
60,338,767
61,194,175
61,245,236
61,246,236
61,247,236
61,280,236
61,287,236
61,299,236
61,339,767
62,167,175
62,282,236
62,287,236
62,298,236
62,340,767
62,347,767
63,172,175
63,230,236
63,232,236
63,259,236
63,263,236
63,266,236
63,284,236
63,302,767
63,345,767
63,353,767
64,169,175
64,173,175
64,230,236
64,256,236
64,257,236
64,258,236
64,264,236
64,292,236
64,354,767
65,189,175
65,191,175
65,257,236
65,281,236
65,300,767
65,301,767
65,355,767
65,356,767
65,357,767
66,161,175
66,163,175
66,164,175
66,244,236
66,265,236
66,266,236
66,299,767
66,355,767
67,166,175
67,252,236
67,263,236
67,266,236
67,287,236
67,308,767
67,344,767
68,166,175
68,279,236
68,295,767
68,307,767
68,308,767
68,359,767
69,180,175
69,295,767
69,300,767
69,358,767
70,172,175
70,252,236
70,281,236
71,127,175
71,184,175
71,185,175
71,200,894
71,223,894
71,261,236
71,287,236
72,223,894
72,224,894
72,232,894
72,248,236
72,276,236
72,330,767
72,331,767
73,192,894
73,206,894
73,211,894
73,223,894
73,226,894
73,265,236
73,283,236
73,329,767
73,330,767
73,336,767
73,344,767
73,361,767
74,189,894
74,191,894
74,193,894
74,194,894
74,195,894
74,226,894
74,326,767
74,327,767
74,337,767
74,340,767
74,345,767
75,142,175
75,187,894
75,188,894
75,190,894
75,263,236
75,264,236
75,267,236
75,268,236
75,269,236
75,270,236
75,325,767
75,327,767
75,330,767
75,331,767
75,333,767
75,336,767
75,337,767
75,338,767
75,339,767
75,362,767
76,186,894
76,188,894
76,190,894
76,214,894
76,262,236
76,263,236
76,264,236
76,270,236
76,274,236
76,310,767
76,327,767
76,330,767
76,331,767
76,332,767
76,339,767
77,186,894
77,187,894
77,190,894
77,191,894
77,202,894
77,203,894
77,213,894
77,214,894
77,227,894
77,255,236
77,256,236
77,257,236
77,264,236
77,315,767
77,316,767
77,333,767
77,339,767
78,187,894
78,191,894
78,192,894
78,195,894
78,204,894
78,210,894
78,212,894
78,213,894
78,214,894
78,224,894
78,227,894
78,228,894
78,235,894
78,246,236
78,255,236
78,256,236
78,257,236
78,297,767
78,315,767
78,334,767
79,117,175
79,191,894
79,192,894
79,195,894
79,196,894
79,202,894
79,209,894
79,210,894
79,211,894
79,212,894
79,213,894
79,214,894
79,215,894
79,224,894
79,228,894
79,237,894
79,255,236
79,256,236
79,257,236
79,273,236
80,190,894
80,191,894
80,192,894
80,193,894
80,195,894
80,203,894
80,205,894
80,206,894
80,207,894
80,208,894
80,210,894
80,211,894
80,212,894
80,213,894
80,214,894
80,215,894
80,221,894
80,228,894
80,229,894
80,230,894
80,236,894
80,241,236
80,256,236
80,275,236
80,285,767
80,289,767
80,314,767
80,352,767
81,193,894
81,194,894
81,195,894
81,202,894
81,203,894
81,204,894
81,205,894
81,206,894
81,207,894
81,208,894
81,215,894
81,221,894
81,222,894
81,230,894
81,235,894
81,236,894
81,240,236
81,241,236
81,242,236
81,256,236
81,274,236
81,285,767
81,314,767
81,315,767
81,340,767
82,187,894
82,205,894
82,221,894
82,222,894
82,230,894
82,231,894
82,236,894
82,239,894
82,241,236
82,247,236
82,259,236
82,311,767
82,312,767
82,314,767
82,315,767
83,137,175
83,156,175
83,188,894
83,192,894
83,202,894
83,227,894
83,230,894
83,231,894
83,241,236
83,244,236
83,245,236
83,246,236
83,309,767
83,311,767
83,312,767
83,313,767
83,314,767
83,327,767
83,349,767
83,355,767
84,154,175
84,188,894
84,189,894
84,190,894
84,192,894
84,193,894
84,195,894
84,197,894
84,201,894
84,231,894
84,232,894
84,243,236
84,244,236
84,245,236
84,246,236
84,268,236
84,283,767
84,310,767
84,311,767
84,312,767
84,314,767
84,340,767
85,194,894
85,196,894
85,197,894
85,241,894
85,244,236
85,245,236
85,252,236
85,254,236
85,265,236
85,271,236
85,300,767
85,310,767
85,333,767
85,334,767
85,372,1596
85,373,1596
86,176,894
86,197,894
86,203,894
86,204,894
86,205,894
86,206,894
86,207,894
86,223,894
86,224,894
86,233,894
86,234,894
86,241,894
86,243,1688
86,244,1688
86,267,236
86,271,236
86,292,767
86,333,767
86,371,1596
86,372,1596
86,373,1596
86,399,1596
86,401,1596
87,162,175
87,196,894
87,197,894
87,200,894
87,204,894
87,205,894
87,206,894
87,207,894
87,209,894
87,210,894
87,234,894
87,241,894
87,248,1688
87,249,236
87,330,767
87,371,1596
88,192,894
88,193,894
88,195,894
88,196,894
88,203,894
88,204,894
88,205,894
88,207,894
88,208,894
88,209,894
88,216,894
88,225,894
88,241,1688
88,268,236
88,269,236
88,403,1596
89,192,894
89,193,894
89,194,894
89,203,894
89,204,894
89,208,894
89,210,894
89,216,894
89,217,894
89,226,894
89,236,894
89,240,1688
89,241,1688
89,307,767
89,334,767
89,342,767
89,402,1596
89,418,1596
90,189,894
