"y","x","cluster_id"
4,133,192
4,136,192
6,95,192
6,158,192
7,160,192
8,132,192
10,153,192
11,132,192
11,148,192
12,113,192
12,114,192
12,115,192
13,113,192
13,114,192
13,120,192
13,132,192
14,84,192
14,120,192
14,198,261
15,113,192
16,84,192
16,85,192
16,206,261
16,207,261
17,84,192
17,85,192
17,114,192
18,85,192
18,86,192
18,87,192
18,136,192
19,84,192
19,112,192
20,115,192
20,136,192
20,212,261
20,217,261
22,79,192
22,80,192
22,102,192
22,140,192
22,158,192
22,218,261
23,79,192
23,80,192
23,81,192
23,102,192
23,103,192
23,159,192
23,219,261
24,77,192
24,78,192
24,79,192
24,80,192
24,81,192
24,102,192
24,146,192
24,156,192
24,157,192
25,74,192
25,75,192
25,76,192
25,77,192
25,78,192
25,79,192
25,80,192
25,102,192
25,157,192
26,75,192
26,76,192
26,77,192
26,78,192
26,79,192
26,80,192
26,97,192
26,155,192
26,209,261
27,74,192
27,75,192
27,76,192
27,78,192
27,79,192
28,75,192
28,76,192
28,78,192
28,99,192
28,206,261
28,207,261
29,65,192
29,100,192
29,108,192
29,173,261
29,204,261
29,205,261
29,207,261
30,108,192
30,109,192
30,110,192
30,111,192
30,140,192
30,180,261
31,82,192
31,96,192
31,110,192
31,176,261
32,97,192
32,99,192
33,94,192
33,95,192
34,70,192
34,96,192
34,97,192
34,103,192
34,213,261
34,214,261
34,215,261
35,70,192
35,94,192
35,95,192
35,96,192
35,102,192
35,104,192
35,107,192
35,216,261
36,89,192
36,93,192
36,95,192
36,96,192
36,103,192
36,106,192
36,164,192
36,211,261
36,259,261
37,91,192
37,92,192
37,93,192
37,130,192
37,161,192
37,166,192
38,88,192
38,90,192
38,91,192
38,92,192
38,93,192
38,165,192
38,218,261
39,90,192
39,91,192
39,92,192
39,93,192
39,138,192
39,214,261
40,63,192
40,64,192
40,79,192
40,80,192
40,87,192
40,198,261
41,62,192
41,63,192
41,76,192
41,85,192
41,86,192
41,88,192
41,89,192
41,90,192
41,146,192
41,147,192
42,62,192
42,76,192
42,84,192
42,85,192
42,87,192
42,88,192
42,89,192
42,90,192
42,160,192
42,185,261
43,35,192
43,88,192
43,89,192
43,90,192
43,144,192
44,36,192
44,88,192
44,89,192
44,230,261
44,234,261
45,35,192
45,84,192
45,85,192
45,94,192
45,98,192
45,104,192
45,226,261
45,254,261
46,35,192
46,36,192
46,84,192
46,85,192
46,98,192
46,151,192
46,156,192
46,208,261
46,211,261
46,259,261
46,265,261
46,266,261
46,267,261
46,276,261
47,82,192
47,84,192
47,85,192
47,86,192
47,111,192
47,112,192
47,207,261
47,250,261
47,264,261
47,266,261
48,81,192
48,82,192
48,83,192
48,84,192
49,81,192
49,155,192
49,260,261
50,36,192
50,266,261
50,267,261
50,279,261
51,80,192
51,140,192
51,155,192
51,157,192
52,115,192
52,116,192
52,124,192
53,116,192
53,132,192
53,153,192
53,219,261
53,279,261
53,280,261
54,139,192
54,256,261
54,280,261
55,66,192
55,81,192
55,82,192
55,257,261
55,273,261
55,278,261
55,279,261
55,280,261
56,62,192
56,81,192
56,82,192
56,89,192
56,138,192
56,244,261
56,258,261
56,276,261
56,277,261
56,280,261
57,81,192
57,89,192
57,230,261
57,257,261
57,275,261
57,276,261
58,48,192
58,89,192
58,119,192
58,276,261
58,279,261
59,48,192
59,49,192
59,214,261
59,217,261
59,275,261
59,277,261
59,278,261
59,279,261
60,274,261
60,276,261
60,277,261
61,210,261
61,255,261
61,259,261
61,262,261
61,265,261
61,270,261
61,451,511
62,31,192
62,209,261
62,241,261
62,256,261
62,266,261
62,274,261
62,276,261
62,449,511
63,32,192
63,33,192
63,95,192
63,208,261
63,211,261
63,269,261
63,277,261
63,452,511
64,96,192
64,153,192
64,204,261
64,211,261
64,212,261
64,273,261
64,274,261
64,427,511
64,428,511
64,447,511
64,448,511
64,449,511
64,450,511
65,239,261
65,273,261
65,276,261
65,427,511
65,448,511
66,69,192
66,208,261
66,244,261
66,276,261
67,34,192
67,68,192
67,69,192
67,426,511
68,31,192
68,241,261
68,426,511
69,31,192
69,216,261
69,229,261
69,399,511
70,93,192
70,94,192
70,398,511
70,399,511
70,422,511
70,426,511
70,451,511
71,93,192
71,94,192
71,95,192
71,207,261
71,214,261
71,398,511
71,399,511
71,400,511
71,421,511
71,422,511
71,423,511
71,425,511
71,426,511
72,69,192
72,93,192
72,95,192
72,221,261
72,237,261
72,238,261
72,398,511
72,399,511
72,400,511
72,401,511
72,421,511
72,422,511
72,424,511
72,425,511
73,32,192
73,44,192
73,92,192
73,93,192
73,94,192
73,96,192
73,190,261
73,223,261
73,239,261
73,240,261
73,398,511
73,400,511
73,401,511
73,402,511
73,424,511
74,32,192
74,92,192
74,242,261
74,370,511
74,398,511
75,213,261
75,230,261
75,236,261
75,244,261
76,224,261
77,97,192
77,373,511
77,435,511
77,436,511
78,56,192
78,57,192
78,136,192
78,436,511
79,57,192
79,58,192
79,251,261
79,433,511
79,434,511
79,435,511
79,438,511
80,166,638
80,432,511
80,433,511
80,434,511
80,435,511
80,436,511
80,437,511
81,431,511
81,432,511
81,433,511
81,434,511
81,435,511
82,148,638
82,166,638
82,223,261
82,431,511
82,432,511
82,433,511
82,434,511
82,435,511
83,146,638
83,152,638
83,224,261
83,431,511
83,432,511
83,433,511
83,434,511
84,110,192
84,146,638
84,152,638
84,218,261
84,222,261
84,432,511
84,433,511
84,434,511
85,51,192
85,152,638
85,210,261
85,433,511
86,95,192
86,96,192
86,191,261
86,436,511
87,94,192
87,95,192
87,147,638
87,413,511
88,94,192
88,143,638
88,212,261
89,73,192
89,143,638
89,212,261
89,433,511
90,222,261
90,449,511
91,59,192
91,143,638
91,449,511
92,58,192
92,59,192
92,142,638
92,144,638
92,147,638
92,152,638
92,249,261
93,21,192
93,59,192
93,147,638
93,148,638
94,123,638
94,155,638
94,272,261
95,23,192
95,92,638
96,423,511
97,423,511
97,424,511
98,211,742
98,241,261
98,423,511
98,449,511
99,48,192
100,48,192
100,128,638
100,442,511
101,125,638
102,258,261
103,151,638
104,120,638
104,133,638
104,135,638
104,156,638
104,427,511
105,121,638
105,143,638
105,150,638
105,163,638
107,113,638
107,272,742
108,103,638
110,158,638
110,164,638
111,105,638
111,127,638
111,128,638
111,161,638
111,212,742
111,430,511
112,143,638
112,214,742
112,398,511
112,430,511
113,420,511
115,37,638
115,122,638
115,391,511
116,214,742
116,391,511
116,392,511
116,435,511
116,439,511
117,22,638
117,391,511
117,407,511
117,436,511
117,437,511
117,438,511
117,439,511
118,209,742
118,223,742
118,436,511
118,437,511
118,441,511
119,105,638
119,388,511
119,437,511
119,438,511
119,442,511
119,566,813
120,44,638
120,45,638
120,125,638
120,211,742
120,437,511
120,438,511
121,45,638
121,213,742
121,266,742
121,437,511
121,438,511
121,441,511
