"y","x","cluster_id"
21,510,372
24,519,372
29,497,372
29,505,372
31,495,372
32,514,372
34,525,372
35,497,372
35,530,372
36,508,372
37,494,372
41,531,372
42,525,372
43,483,372
43,484,372
43,500,372
43,513,372
43,539,372
47,483,372
47,538,372
48,537,372
48,540,372
49,489,372
49,491,372
49,534,372
50,495,372
51,481,372
51,484,372
51,523,372
51,525,372
53,524,372
54,484,372
54,509,372
54,524,372
54,541,372
56,480,372
56,517,372
56,534,372
57,471,372
57,502,372
57,534,372
58,478,372
58,493,372
59,154,455
59,463,372
59,485,372
59,486,372
59,499,372
60,152,455
60,467,372
61,144,455
61,146,455
61,147,455
61,157,455
61,158,455
61,456,372
61,534,372
62,148,455
62,157,455
62,158,455
62,159,455
62,461,372
62,465,372
62,473,372
62,498,372
62,537,372
63,141,455
63,156,455
63,157,455
63,158,455
63,159,455
63,172,455
63,173,455
63,174,455
63,454,372
63,459,372
63,475,372
63,481,372
64,137,455
64,150,455
64,151,455
64,156,455
64,157,455
64,158,455
64,159,455
64,160,455
64,167,455
64,168,455
64,173,455
64,175,455
64,474,372
65,137,455
65,157,455
65,164,455
65,167,455
65,168,455
65,189,455
65,483,372
66,137,455
66,157,455
66,162,455
66,165,455
66,166,455
66,167,455
66,170,455
66,171,455
66,174,455
66,183,455
66,188,455
66,189,455
66,190,455
66,191,455
66,193,455
66,447,372
66,449,372
66,490,372
66,532,372
67,137,455
67,161,455
67,162,455
67,167,455
67,168,455
67,169,455
67,170,455
67,183,455
67,184,455
67,185,455
67,186,455
67,189,455
67,190,455
67,191,455
67,193,455
67,194,455
67,480,372
67,484,372
67,529,372
67,531,372
68,131,455
68,132,455
68,149,455
68,154,455
68,182,455
68,183,455
68,184,455
68,187,455
68,188,455
68,191,455
68,192,455
68,193,455
68,194,455
68,195,455
68,196,455
68,197,455
68,198,455
68,206,455
69,123,455
69,131,455
69,142,455
69,160,455
69,161,455
69,162,455
69,167,455
69,172,455
69,173,455
69,174,455
69,180,455
69,191,455
69,193,455
69,194,455
69,195,455
69,196,455
69,197,455
69,198,455
69,208,455
69,211,455
69,212,455
69,223,455
69,224,455
69,226,455
69,227,455
69,465,372
69,484,372
69,488,372
69,501,372
70,123,455
70,124,455
70,129,455
70,138,455
70,145,455
70,147,455
70,158,455
70,159,455
70,160,455
70,161,455
70,174,455
70,183,455
70,195,455
70,196,455
70,197,455
70,198,455
70,199,455
70,216,455
70,223,455
70,227,455
70,228,455
70,232,455
70,475,372
70,476,372
70,488,372
70,500,372
71,124,455
71,131,455
71,140,455
71,153,455
71,160,455
71,174,455
71,183,455
71,193,455
71,200,455
71,201,455
71,202,455
71,203,455
71,224,455
71,228,455
71,243,455
71,245,455
71,246,455
71,247,455
71,442,372
71,470,372
71,484,372
71,488,372
72,120,455
72,140,455
72,153,455
72,154,455
72,159,455
72,160,455
72,164,455
72,166,455
72,201,455
72,202,455
72,203,455
72,213,455
72,218,455
72,243,455
72,244,455
72,245,455
72,444,372
72,532,372
73,118,455
73,119,455
73,120,455
73,128,455
73,129,455
73,130,455
73,131,455
73,151,455
73,157,455
73,159,455
73,160,455
73,161,455
73,165,455
73,183,455
73,193,455
73,202,455
73,203,455
73,218,455
73,234,455
73,392,736
73,525,372
74,118,455
74,119,455
74,121,455
74,124,455
74,141,455
74,142,455
74,149,455
74,159,455
74,160,455
74,169,455
74,185,455
74,191,455
74,194,455
74,196,455
74,197,455
74,202,455
74,203,455
74,224,455
74,246,455
74,250,1637
74,260,1637
74,388,736
74,390,736
74,391,736
74,397,736
74,430,736
74,431,736
74,435,736
74,489,372
74,525,372
75,138,455
75,186,455
75,187,455
75,195,455
75,247,455
75,249,1637
75,387,736
75,390,736
75,391,736
75,395,736
75,396,736
75,429,736
75,430,736
75,431,736
75,439,372
75,440,372
75,441,372
75,448,372
75,449,372
75,500,372
76,110,1583
76,138,455
76,155,455
76,200,455
76,201,455
76,249,1637
76,250,1637
76,265,1637
76,266,1637
76,268,1637
76,389,736
76,390,736
76,392,736
76,395,736
76,396,736
76,397,736
76,438,372
76,467,372
76,476,372
76,477,372
76,478,372
76,490,372
76,501,372
76,505,372
76,506,372
77,109,1583
77,110,1583
77,155,455
77,156,455
77,170,455
77,197,455
77,200,455
77,203,455
77,249,1637
77,250,1637
77,251,1637
77,270,1637
77,388,736
77,389,736
77,390,736
77,391,736
77,392,736
77,393,736
77,394,736
77,395,736
77,396,736
77,397,736
77,404,736
77,462,372
77,486,372
77,491,372
77,508,372
77,515,372
77,522,372
78,105,1583
78,108,1583
78,131,455
78,146,455
78,152,455
78,203,455
78,208,455
78,249,1637
78,384,736
78,386,736
78,390,736
78,391,736
78,392,736
78,393,736
78,394,736
78,395,736
78,396,736
78,398,736
78,403,736
78,404,736
78,457,372
78,466,372
78,477,372
78,478,372
78,485,372
78,506,372
78,507,372
78,512,372
79,104,1583
79,105,1583
79,155,455
79,198,455
79,199,455
79,247,1637
79,256,1637
79,379,736
79,380,736
79,381,736
79,382,736
79,383,736
79,384,736
79,385,736
79,387,736
79,388,736
79,390,736
79,391,736
79,392,736
79,393,736
79,394,736
79,395,736
79,396,736
79,397,736
79,404,736
79,456,372
79,505,372
80,103,1583
80,104,1583
80,160,455
80,258,1637
80,275,1637
80,281,1637
80,380,736
80,381,736
80,383,736
80,384,736
80,385,736
80,386,736
80,388,736
80,389,736
80,390,736
80,392,736
80,394,736
80,395,736
80,396,736
80,398,736
80,439,372
80,455,372
80,485,372
81,104,1583
81,176,455
81,276,1637
81,283,1637
81,380,736
81,381,736
81,382,736
81,383,736
81,384,736
81,385,736
81,390,736
81,391,736
81,392,736
81,394,736
81,395,736
81,396,736
81,397,736
81,398,736
81,430,736
81,510,372
81,525,372
81,527,372
81,534,372
82,106,1583
82,133,455
82,141,455
82,202,455
82,258,1637
82,279,1637
82,380,736
82,381,736
82,382,736
82,383,736
82,384,736
82,389,736
82,391,736
82,392,736
82,394,736
82,395,736
82,396,736
82,397,736
82,398,736
82,400,736
82,466,372
82,474,372
82,475,372
82,502,372
82,504,372
83,102,1583
83,192,455
83,380,736
83,381,736
83,382,736
83,383,736
83,388,736
83,389,736
83,390,736
83,391,736
83,394,736
83,395,736
83,396,736
83,397,736
83,398,736
83,453,372
83,502,372
83,533,372
84,193,455
84,197,455
84,201,455
84,212,455
84,213,455
84,380,736
84,381,736
84,382,736
84,383,736
84,389,736
84,390,736
84,391,736
84,392,736
84,393,736
84,394,736
84,395,736
84,396,736
84,397,736
84,399,736
84,450,372
84,453,372
84,481,372
84,520,372
85,92,1583
85,104,1583
85,105,1583
85,164,455
85,383,736
85,391,736
85,393,736
85,394,736
85,395,736
85,397,736
85,422,736
85,443,372
85,470,372
85,471,372
85,506,372
86,197,455
86,388,736
86,391,736
86,394,736
86,395,736
86,397,736
86,460,372
87,110,1583
87,141,455
87,142,455
87,372,736
87,387,736
87,388,736
87,391,736
87,392,736
87,394,736
87,395,736
87,396,736
87,397,736
87,398,736
87,399,736
87,430,736
87,459,372
88,85,1583
88,113,1583
88,184,455
88,193,455
88,285,1637
88,370,736
88,371,736
88,372,736
88,373,736
88,374,736
88,375,736
88,386,736
88,387,736
88,388,736
88,389,736
88,391,736
88,393,736
88,394,736
88,396,736
89,253,1637
89,369,736
89,370,736
89,371,736
89,372,736
89,373,736
89,374,736
89,375,736
89,378,736
89,387,736
89,388,736
89,389,736
89,390,736
89,392,736
89,394,736
89,395,736
89,396,736
89,398,736
89,399,736
89,429,736
89,516,372
90,101,1583
90,115,1583
90,120,1583
90,195,455
90,196,455
90,370,736
90,371,736
90,372,736
90,373,736
90,374,736
90,375,736
90,378,736
90,379,736
90,380,736
90,381,736
90,382,736
90,389,736
90,390,736
90,395,736
90,396,736
90,397,736
90,398,736
90,435,736
91,98,1583
91,114,1583
91,222,455
91,369,736
91,370,736
91,372,736
91,373,736
91,374,736
91,375,736
91,378,736
91,379,736
91,380,736
91,381,736
91,385,736
91,397,736
91,398,736
92,90,1583
92,92,1583
92,94,1583
92,104,1583
92,148,455
92,194,455
92,365,736
92,367,736
92,371,736
92,372,736
92,373,736
92,377,736
92,378,736
92,379,736
92,380,736
92,381,736
92,385,736
92,386,736
92,387,736
92,388,736
92,424,736
92,444,372
93,69,1583
93,74,1583
93,92,1583
93,99,1583
93,105,1583
93,106,1583
93,146,455
93,186,455
93,188,455
93,198,455
93,358,736
93,359,736
93,360,736
93,361,736
93,362,736
93,363,736
93,366,736
93,369,736
93,370,736
93,371,736
93,372,736
93,375,736
93,376,736
93,377,736
93,378,736
93,379,736
93,380,736
93,382,736
93,385,736
93,386,736
93,387,736
93,388,736
93,441,372
94,69,1583
94,91,1583
94,118,1583
94,149,455
94,357,736
94,358,736
94,359,736
94,360,736
94,361,736
94,362,736
94,363,736
94,364,736
94,370,736
94,371,736
94,372,736
94,373,736
94,376,736
94,377,736
94,380,736
94,381,736
94,382,736
94,383,736
94,386,736
94,387,736
94,388,736
94,389,736
94,466,372
94,483,372
95,65,1583
95,66,1583
95,74,1583
95,75,1583
95,89,1583
95,90,1583
95,96,1583
95,134,455
95,185,455
95,278,1637
95,309,1637
95,352,2033
95,353,2033
95,354,2033
95,355,736
95,357,736
95,358,736
95,359,736
95,360,736
95,361,736
95,362,736
95,363,736
95,364,736
95,366,736
95,367,736
95,368,736
95,369,736
95,370,736
95,371,736
95,372,736
95,373,736
95,374,736
95,375,736
95,378,736
95,379,736
95,387,736
95,396,736
95,401,736
95,470,372
95,515,372
95,522,372
96,64,1583
96,66,1583
96,96,1583
96,104,1583
96,129,455
96,132,455
96,181,455
96,205,455
96,308,1637
96,309,1637
96,310,1637
96,311,1637
96,312,1637
96,313,1637
96,351,2033
96,352,2033
96,353,2033
96,357,736
96,358,736
96,360,736
96,361,736
96,362,736
96,363,736
96,364,736
96,365,736
96,366,736
96,367,736
96,371,736
96,372,736
96,373,736
96,374,736
96,375,736
96,377,736
96,381,736
96,388,736
96,390,736
96,400,736
96,401,736
96,439,372
96,455,372
96,462,372
96,517,372
97,70,1583
97,74,1583
97,106,1583
97,307,1637
97,308,1637
97,309,1637
97,310,1637
97,311,1637
97,312,1637
97,348,2033
97,349,2033
97,350,2033
97,351,2033
97,352,2033
97,353,2033
97,355,2033
97,356,2033
97,357,736
97,358,736
97,359,736
97,361,736
97,362,736
97,363,736
97,364,736
97,366,736
97,367,736
97,374,736
97,375,736
97,395,736
97,400,736
97,402,736
97,409,736
97,505,372
97,509,372
98,94,1583
98,142,455
98,306,1637
98,307,1637
98,308,1637
98,309,1637
98,310,1637
98,311,1637
98,312,1637
98,314,1637
98,315,1637
98,347,2033
98,348,2033
98,350,2033
98,351,2033
98,352,2033
98,353,2033
98,354,2033
98,355,2033
98,357,2033
98,358,736
98,359,736
98,361,736
98,362,736
98,363,736
98,364,736
98,365,736
98,367,736
98,368,736
98,369,736
98,370,736
98,372,736
98,373,736
98,374,736
98,375,736
98,386,736
98,399,736
98,400,736
98,452,372
98,532,372
99,75,1583
99,167,455
99,265,1637
99,306,1637
99,307,1637
99,309,1637
99,310,1637
99,311,1637
99,312,1637
99,313,1637
99,314,1637
99,315,1637
99,317,1637
99,318,1637
99,345,2033
99,346,2033
99,347,2033
99,348,2033
99,349,2033
99,350,2033
99,351,2033
99,352,2033
99,353,2033
99,354,2033
99,355,2033
99,357,2033
99,358,2033
99,359,2033
99,360,736
99,361,736
99,362,736
99,363,736
99,365,736
99,367,736
99,368,736
99,369,736
99,370,736
99,371,736
99,372,736
99,389,736
99,407,736
99,452,372
99,474,372
99,515,372
100,56,1583
100,57,1583
100,67,1583
100,96,1583
100,306,1637
100,307,1637
100,308,1637
100,309,1637
100,313,1637
100,314,1637
100,317,1637
100,345,2033
100,347,2033
100,348,2033
100,349,2033
100,350,2033
100,351,2033
100,352,2033
100,353,2033
100,354,2033
100,355,2033
100,356,2033
100,359,2033
100,360,736
100,361,736
100,365,736
100,366,736
100,367,736
100,368,736
100,370,736
100,399,736
100,402,736
100,406,736
100,408,736
100,410,736
100,473,372
100,474,372
100,535,372
101,55,1583
101,56,1583
101,177,455
101,305,1637
101,306,1637
101,307,1637
101,308,1637
101,309,1637
101,310,1637
101,311,1637
101,312,1637
101,313,1637
101,349,2033
101,350,2033
101,351,2033
101,352,2033
101,355,2033
101,356,2033
101,358,2033
101,359,2033
101,360,2033
101,361,736
101,365,736
101,366,736
101,367,736
101,369,736
101,370,736
101,372,736
101,401,736
101,426,736
101,486,372
102,56,1583
102,89,1583
102,174,455
102,209,455
102,305,1637
102,306,1637
102,307,1637
102,308,1637
102,311,1637
102,312,1637
102,313,1637
102,314,1637
102,315,1637
102,316,1637
102,348,2033
102,349,2033
102,350,2033
102,355,2033
102,356,2033
102,358,2033
102,359,2033
102,360,2033
102,361,2033
102,363,736
102,365,736
102,366,736
102,367,736
102,368,736
102,370,736
102,372,736
102,391,736
102,398,736
102,403,736
102,528,372
103,50,1583
103,66,1583
103,88,1583
103,165,455
103,166,455
103,268,1637
103,304,1637
103,305,1637
103,306,1637
103,307,1637
103,308,1637
103,310,1637
103,311,1637
103,312,1637
103,313,1637
103,314,1637
103,315,1637
103,316,1637
103,317,1637
103,342,2033
103,343,2033
103,344,2033
103,347,2033
103,348,2033
103,350,2033
103,351,2033
103,354,2033
103,356,2033
103,357,2033
103,359,2033
103,362,2033
103,363,736
103,364,736
103,367,736
103,368,736
103,369,736
103,380,736
103,386,736
103,394,736
103,400,736
103,456,372
103,534,372
104,50,1583
104,60,1583
104,66,1583
104,67,1583
104,92,1583
104,93,1583
104,103,1583
104,105,1583
104,114,1583
