"y","x","cluster_id"
14,220,154
14,221,154
14,222,154
14,242,154
15,217,154
15,218,154
15,219,154
15,220,154
15,224,154
15,227,154
15,236,154
15,242,154
16,220,154
16,221,154
16,227,154
16,232,154
16,233,154
16,234,154
16,235,154
16,236,154
16,237,154
16,239,154
16,240,154
16,242,154
16,243,154
17,219,154
17,220,154
17,229,154
17,230,154
17,231,154
17,235,154
17,237,154
17,238,154
17,239,154
17,242,154
18,230,154
18,234,154
18,238,154
18,240,154
18,241,154
18,242,154
18,243,154
19,222,154
19,233,154
19,239,154
19,240,154
19,242,154
19,244,154
20,217,154
20,226,154
20,241,154
22,232,154
22,239,154
22,243,154
22,244,154
23,216,154
23,218,154
23,222,154
23,236,154
23,242,154
24,200,154
24,221,154
24,233,154
25,216,154
25,220,154
25,228,154
25,234,154
25,250,154
25,254,154
26,200,154
26,216,154
26,226,154
26,230,154
26,231,154
26,255,154
27,218,154
27,244,154
27,255,154
28,211,154
28,212,154
28,244,154
29,210,154
29,212,154
29,220,154
29,239,154
30,211,154
30,272,154
30,276,154
31,266,154
31,270,154
31,272,154
31,273,154
31,277,154
31,278,154
31,280,154
32,251,154
32,252,154
32,253,154
32,265,154
32,275,154
32,276,154
32,281,154
32,283,154
32,293,154
33,254,154
33,275,154
33,279,154
33,281,154
34,209,154
34,258,154
34,265,154
34,279,154
34,283,154
34,301,154
34,302,154
34,305,154
35,220,154
35,232,154
35,241,154
35,265,154
35,274,154
35,301,154
35,304,154
36,214,154
36,242,154
36,243,154
36,265,154
36,302,154
37,250,154
37,253,154
37,254,154
38,195,154
38,196,154
38,244,154
38,250,154
38,274,154
38,275,154
38,304,154
38,306,154
38,307,154
38,308,154
38,309,154
39,189,1826
39,193,154
39,245,154
39,246,154
39,251,154
39,265,154
39,305,154
40,188,1826
40,210,154
40,211,154
40,250,154
40,258,154
40,263,154
40,274,154
41,182,1826
41,192,154
41,239,154
41,240,154
41,242,154
41,246,154
41,248,154
41,249,154
41,303,154
41,505,1952
42,181,1826
42,193,154
42,194,154
42,207,154
42,239,154
42,241,154
42,243,154
42,246,154
42,247,154
42,250,154
42,253,154
42,254,154
42,264,154
42,281,154
42,300,154
42,304,154
42,306,154
42,505,1952
43,181,1826
43,193,154
43,241,154
43,244,154
43,245,154
43,278,154
43,281,154
43,306,154
43,311,154
43,313,154
44,251,154
44,278,154
44,307,154
44,502,1952
45,245,154
45,252,154
45,259,154
45,272,154
45,288,154
45,293,154
45,306,154
45,309,154
45,320,154
45,502,1952
45,510,1952
45,513,1952
46,189,1826
46,206,154
46,207,154
46,249,154
46,260,154
46,287,154
46,307,154
46,514,2632
47,206,154
47,207,154
47,244,154
47,250,154
47,285,154
47,304,154
47,305,154
47,309,154
47,310,154
47,317,154
47,516,2632
48,125,1826
48,127,1826
48,188,1826
48,189,1826
48,190,1826
48,275,154
48,281,154
48,296,154
49,189,1826
49,191,1826
49,295,154
49,296,154
49,297,154
49,302,154
50,253,154
50,254,154
50,274,154
50,305,154
50,322,2822
50,502,1952
50,509,1952
51,253,154
51,271,154
51,272,154
51,274,154
51,286,154
51,291,154
52,115,1826
52,135,1826
52,254,154
52,272,154
52,275,154
52,288,154
52,290,154
52,291,154
52,305,154
52,311,154
53,134,1826
53,278,154
53,282,154
53,311,154
53,518,2632
54,133,1826
54,134,1826
54,137,1826
54,138,1826
54,182,1826
54,267,154
54,268,154
54,281,154
54,282,154
54,283,154
54,286,154
54,287,154
54,294,154
54,314,2822
54,515,2632
54,519,2632
54,521,2632
55,138,1826
55,139,1826
55,144,1826
55,174,1826
55,175,1826
55,252,154
55,275,154
55,286,154
55,299,154
55,481,1952
55,502,1952
55,512,1952
56,127,1826
56,136,1826
56,137,1826
56,138,1826
56,143,1826
56,146,1826
56,186,1826
56,251,154
56,275,154
56,283,154
56,502,1952
56,503,1952
56,507,1952
56,508,1952
56,517,2632
56,523,2632
57,101,1826
57,106,1826
57,136,1826
57,137,1826
57,138,1826
57,142,1826
57,173,1826
57,252,154
57,267,154
57,284,154
57,302,154
57,501,1952
57,502,1952
57,503,1952
57,516,2632
57,523,2632
58,136,1826
58,137,1826
58,138,1826
58,139,1826
58,142,1826
58,144,1826
58,147,1826
58,170,1826
58,174,1826
58,175,1826
58,264,154
58,267,154
58,281,154
58,282,154
58,283,154
58,311,2822
58,502,1952
58,509,1952
58,512,2632
58,523,2632
58,524,2632
59,99,1826
59,144,1826
59,145,1826
59,175,1826
59,176,1826
59,281,154
59,286,154
59,302,154
59,312,2822
59,515,2632
59,516,2632
59,517,2632
59,522,2632
59,523,2632
60,99,1826
60,139,1826
60,144,1826
60,150,1826
60,239,154
60,284,154
60,285,154
60,286,154
60,310,2822
60,316,2822
60,514,2632
60,516,2632
60,518,2632
60,523,2632
61,136,1826
61,140,1826
61,284,154
61,285,154
61,494,1952
61,518,2632
61,523,2632
61,526,2632
62,92,3580
62,136,1826
62,139,1826
62,157,1826
62,243,154
62,272,154
62,282,154
62,283,154
62,294,154
62,302,2822
62,303,2822
62,304,2822
62,307,2822
62,311,2822
62,320,2822
62,482,1952
62,523,2632
62,525,2632
63,139,1826
63,140,1826
63,142,1826
63,273,154
63,284,154
63,289,154
63,303,2822
63,320,2822
63,474,1952
63,480,1952
63,499,1952
63,524,2632
63,525,2632
64,89,3580
64,104,1826
64,139,1826
64,140,1826
64,141,1826
64,153,1826
64,278,154
64,285,154
64,317,2822
64,318,2822
64,319,2822
64,382,2159
64,472,1952
64,476,1952
64,516,2632
64,517,2632
65,92,3580
65,102,1826
65,138,1826
65,141,1826
65,142,1826
65,154,1826
65,231,154
65,284,154
65,310,2822
65,312,2822
65,313,2822
65,318,2822
65,319,2822
65,320,2822
65,376,2159
65,378,2159
65,381,2159
65,382,2159
65,383,2159
65,478,1952
65,492,1952
65,516,2632
65,518,2632
65,519,2632
66,137,1826
66,139,1826
66,142,1826
66,158,1826
66,250,154
66,251,154
66,283,154
66,284,154
66,289,154
66,310,2822
66,311,2822
66,312,2822
66,320,2822
66,371,2159
66,372,2159
66,376,2159
66,377,2159
66,379,2159
66,380,2159
66,382,2159
66,387,2159
66,388,2159
66,478,1952
66,492,1952
66,493,1952
66,497,1952
66,514,2632
67,141,1826
67,142,1826
67,171,1826
67,242,154
67,249,154
67,284,154
67,286,154
67,306,2822
67,308,2822
67,313,2822
67,318,2822
67,319,2822
67,320,2822
67,321,2822
67,376,2159
67,377,2159
67,378,2159
67,379,2159
67,380,2159
67,381,2159
67,383,2159
67,384,2159
67,385,2159
67,386,2159
67,387,2159
67,388,2159
67,459,1952
67,477,1952
67,479,1952
67,493,1952
67,494,1952
68,100,1826
68,142,1826
68,157,1826
68,171,1826
68,181,1826
68,249,154
68,298,2822
68,313,2822
68,319,2822
68,320,2822
68,373,2159
68,377,2159
68,380,2159
68,381,2159
68,382,2159
68,383,2159
68,384,2159
68,385,2159
68,386,2159
68,387,2159
68,425,1853
68,458,1952
68,464,1952
68,469,1952
68,470,1952
68,471,1952
68,477,1952
68,485,1952
68,494,1952
68,500,1952
68,514,2632
69,77,3580
69,81,3580
69,138,1826
69,139,1826
69,142,1826
69,157,1826
69,159,1826
69,174,1826
69,201,2471
69,233,2471
69,312,2822
69,318,2822
69,324,2822
69,371,2159
69,372,2159
69,373,2159
69,374,2159
69,377,2159
69,379,2159
69,381,2159
69,382,2159
69,383,2159
69,384,2159
69,425,1853
69,426,1853
69,427,1853
69,428,1853
69,429,1853
69,430,1853
69,458,1952
69,470,1952
69,471,1952
69,478,1952
69,497,1952
70,132,1826
70,139,1826
70,156,1826
70,170,1826
70,200,2471
70,201,2471
70,203,2471
70,209,2471
70,298,2822
70,299,2822
70,306,2822
70,312,2822
70,371,2159
70,372,2159
70,375,2159
70,376,2159
70,377,2159
70,381,2159
70,382,2159
70,383,2159
70,406,1853
70,424,1853
70,425,1853
70,426,1853
70,427,1853
70,428,1853
70,429,1853
70,430,1853
70,463,1952
70,470,1952
70,471,1952
70,478,1952
70,512,2632
70,527,2632
70,531,2632
71,73,3580
71,74,3580
71,98,1826
71,138,1826
71,139,1826
71,194,2471
71,201,2471
71,202,2471
71,203,2471
71,209,2471
71,230,2471
71,298,2822
71,306,2822
71,313,2822
71,367,2159
71,369,2159
71,370,2159
71,371,2159
71,374,2159
71,375,2159
71,376,2159
71,377,2159
71,381,2159
71,425,1853
71,426,1853
71,427,1853
71,428,1853
71,429,1853
71,430,1853
71,431,1853
71,432,1853
71,434,1853
71,439,1853
71,448,1853
71,449,1853
71,450,1853
71,471,1952
71,477,1952
71,478,1952
71,480,1952
71,481,1952
71,501,1952
71,505,1952
71,507,1952
71,511,2632
71,519,2632
71,521,2632
71,522,2632
71,533,2632
72,70,3580
72,71,3580
72,138,1826
72,139,1826
72,140,1826
72,141,1826
72,184,1826
72,201,2471
72,202,2471
72,203,2471
72,204,2471
72,207,2471
72,209,2471
72,215,2471
72,299,2822
72,313,2822
72,364,2159
72,370,2159
72,373,2159
72,425,1853
72,426,1853
72,427,1853
72,428,1853
72,429,1853
72,430,1853
72,431,1853
72,432,1853
72,469,1952
72,475,1952
72,476,1952
72,477,1952
72,478,1952
72,479,1952
72,480,1952
72,481,1952
72,484,1952
72,500,1952
72,506,1952
72,508,1952
72,509,2632
72,510,2632
72,516,2632
72,520,2632
72,527,2632
72,535,2632
73,77,3580
73,83,3580
73,138,1826
73,141,1826
73,154,1826
73,165,1826
73,183,1826
73,195,2471
73,196,2471
73,200,2471
73,201,2471
73,202,2471
73,203,2471
73,204,2471
73,206,2471
73,207,2471
73,208,2471
73,211,2471
73,214,2471
73,222,2471
73,234,2471
73,299,2822
73,300,2822
73,301,2822
73,311,2822
73,313,2822
73,314,2822
73,369,2159
73,370,2159
73,371,2159
73,372,2159
73,373,2159
73,374,2159
73,375,2159
73,376,2159
73,421,1853
73,424,1853
73,425,1853
73,426,1853
73,427,1853
73,428,1853
73,429,1853
73,430,1853
