"y","x","cluster_id"
1,257,208
1,258,208
2,254,208
2,255,208
2,257,208
3,253,208
3,255,208
3,256,208
3,257,208
4,250,208
4,253,208
4,254,208
4,262,208
4,263,208
5,263,208
6,262,208
7,255,208
7,256,208
7,258,208
7,262,208
8,254,208
8,256,208
8,257,208
8,261,208
8,262,208
8,263,208
10,249,208
10,259,208
11,246,208
11,253,208
11,258,208
12,256,208
12,263,208
13,249,208
13,263,208
13,264,208
13,265,208
14,258,208
14,264,208
14,267,208
15,256,208
15,260,208
15,265,208
15,266,208
16,268,208
17,250,208
17,263,208
17,267,208
17,270,208
18,248,208
18,258,208
18,262,208
18,270,208
18,271,208
19,261,208
19,262,208
19,264,208
19,265,208
19,267,208
19,268,208
19,269,208
19,270,208
19,271,208
19,272,208
20,257,208
20,258,208
20,259,208
20,261,208
20,262,208
20,264,208
20,265,208
20,266,208
20,271,208
20,272,208
21,257,208
21,258,208
21,260,208
21,271,208
21,272,208
22,253,208
22,263,208
22,271,208
22,272,208
22,273,208
23,262,208
23,273,208
24,258,208
24,266,208
25,256,208
25,267,208
26,252,208
26,258,208
27,257,208
28,253,208
29,149,837
29,150,837
30,151,837
30,228,208
30,249,208
30,250,208
31,224,208
31,225,208
31,228,208
31,255,208
33,225,208
33,595,1388
33,596,1388
33,601,1388
34,156,837
34,234,208
34,235,208
34,238,208
34,593,1388
34,596,1388
34,597,1388
34,598,1388
34,599,1388
34,600,1388
35,145,837
35,146,837
35,156,837
35,580,1388
35,599,1388
36,147,837
36,148,837
36,149,837
36,202,208
36,203,208
36,205,208
36,454,1251
36,611,1388
37,148,837
37,149,837
37,150,837
37,161,837
37,196,208
37,197,208
37,198,208
37,201,208
37,202,208
37,203,208
37,204,208
37,205,208
37,206,208
37,207,208
37,208,208
37,210,208
37,212,208
37,213,208
37,242,208
37,449,1251
37,450,1251
37,460,1251
38,148,837
38,149,837
38,150,837
38,161,837
38,162,837
38,191,208
38,194,208
38,195,208
38,196,208
38,197,208
38,198,208
38,200,208
38,205,208
38,206,208
38,207,208
38,208,208
38,209,208
38,210,208
38,211,208
38,212,208
38,213,208
38,214,208
38,215,208
38,228,208
38,449,1251
38,453,1251
38,461,1251
38,475,1251
38,575,1388
38,576,1388
38,613,1388
39,145,837
39,149,837
39,196,208
39,197,208
39,198,208
39,203,208
39,206,208
39,207,208
39,209,208
39,210,208
39,211,208
39,212,208
39,213,208
39,214,208
39,215,208
39,216,208
39,217,208
39,218,208
39,226,208
39,227,208
39,228,208
39,229,208
39,230,208
39,235,208
39,240,208
39,447,1251
39,462,1251
39,467,1251
39,573,1388
39,574,1388
39,577,1388
40,148,837
40,166,837
40,187,837
40,196,208
40,197,208
40,208,208
40,209,208
40,211,208
40,213,208
40,214,208
40,215,208
40,216,208
40,217,208
40,218,208
40,219,208
40,220,208
40,226,208
40,227,208
40,228,208
40,229,208
40,240,208
40,244,208
40,461,1251
40,465,1251
40,468,1251
40,470,1251
40,598,1388
41,146,837
41,149,837
41,152,837
41,153,837
41,160,837
41,168,837
41,191,837
41,193,208
41,206,208
41,212,208
41,213,208
41,214,208
41,215,208
41,217,208
41,218,208
41,219,208
41,222,208
41,227,208
41,228,208
41,229,208
41,234,208
41,237,208
41,241,208
41,242,208
41,244,208
41,446,1251
41,453,1251
41,462,1251
41,468,1251
41,469,1251
41,599,1388
42,155,837
42,165,837
42,167,837
42,168,837
42,169,837
42,170,837
42,204,208
42,215,208
42,216,208
42,228,208
42,237,208
42,238,208
42,242,208
42,243,208
42,272,208
42,285,208
42,449,1251
42,451,1251
42,452,1251
42,453,1251
42,454,1251
42,470,1251
42,471,1251
42,472,1251
42,600,1388
42,620,1388
43,166,837
43,167,837
43,168,837
43,169,837
43,170,837
43,194,208
43,195,208
43,216,208
43,238,208
43,239,208
43,240,208
43,242,208
43,243,208
43,244,208
43,257,208
43,297,1876
43,449,1251
43,452,1251
43,453,1251
43,457,1251
43,460,1251
43,461,1251
43,467,1251
43,468,1251
43,471,1251
43,474,1251
43,592,1388
43,596,1388
43,598,1388
43,600,1388
43,603,1388
44,167,837
44,168,837
44,169,837
44,178,837
44,195,208
44,228,208
44,229,208
44,230,208
44,234,208
44,236,208
44,239,208
44,240,208
44,242,208
44,243,208
44,270,208
44,280,208
44,296,1876
44,447,1251
44,457,1251
44,458,1251
44,459,1251
44,461,1251
44,463,1251
44,466,1251
44,471,1251
44,472,1251
44,473,1251
44,474,1251
44,478,1251
44,571,1388
44,602,1388
45,168,837
45,169,837
45,170,837
45,176,837
45,194,208
45,221,208
