"y","x","cluster_id"
25,425,201
26,426,201
27,419,201
27,424,201
28,429,201
29,419,201
29,430,201
30,423,201
31,421,201
31,429,201
32,427,201
33,409,201
33,410,201
33,415,201
34,418,201
34,426,201
35,400,201
35,408,201
35,409,201
35,411,201
35,417,201
36,400,201
36,401,201
36,412,201
36,422,201
36,423,201
37,400,201
37,401,201
37,403,201
37,423,201
37,424,201
38,397,201
38,403,201
38,409,201
38,413,201
38,424,201
39,423,201
40,420,201
40,421,201
40,423,201
40,434,201
41,398,201
41,410,201
41,421,201
41,422,201
41,423,201
41,427,201
42,420,201
42,422,201
42,428,201
43,419,201
43,424,201
43,430,201
44,395,201
44,419,201
44,423,201
44,428,201
45,387,201
45,388,201
45,425,201
46,385,201
46,400,201
46,410,201
46,421,201
46,428,201
47,424,201
47,425,201
47,426,201
47,427,201
47,428,201
48,376,201
48,398,201
48,414,201
48,415,201
48,417,201
48,418,201
48,419,201
48,425,201
48,427,201
48,428,201
49,397,201
49,398,201
49,401,201
49,416,201
49,417,201
49,418,201
49,424,201
49,427,201
50,374,201
50,377,201
50,397,201
50,398,201
50,402,201
50,413,201
50,417,201
50,427,201
51,377,201
51,395,201
51,396,201
51,397,201
51,398,201
51,399,201
51,409,201
51,410,201
51,417,201
51,426,201
51,428,201
52,365,362
52,395,201
52,396,201
52,409,201
52,410,201
52,419,201
52,424,201
52,425,201
52,429,201
53,366,362
53,370,362
53,410,201
53,411,201
53,419,201
53,422,201
53,423,201
54,421,201
54,422,201
54,424,201
54,427,201
54,429,201
54,430,201
55,365,362
55,368,362
55,396,201
55,417,201
55,418,201
55,419,201
55,421,201
55,422,201
55,430,201
56,363,362
56,367,362
56,368,362
56,399,201
56,415,201
56,418,201
56,419,201
56,422,201
56,424,201
56,425,201
56,426,201
56,427,201
57,307,362
57,348,362
57,392,201
57,413,201
57,414,201
57,415,201
57,418,201
57,421,201
57,422,201
57,424,201
57,425,201
57,426,201
58,303,362
58,360,362
58,361,362
58,369,362
58,375,201
58,413,201
58,414,201
58,420,201
58,422,201
58,425,201
59,306,362
59,364,362
59,372,362
59,394,201
59,409,201
59,413,201
59,414,201
59,415,201
59,419,201
59,420,201
59,421,201
59,424,201
59,427,201
60,343,362
60,367,362
60,412,201
60,418,201
60,424,201
61,320,362
61,372,362
61,375,362
61,399,201
61,400,201
61,406,201
61,411,201
61,412,201
61,413,201
61,414,201
61,416,201
61,417,201
61,429,201
62,361,362
62,369,362
62,378,201
62,405,201
62,414,201
62,416,201
62,417,201
62,418,201
62,423,201
62,424,201
62,429,201
63,365,362
63,369,362
63,373,362
63,375,362
63,403,201
63,416,201
63,417,201
63,418,201
63,419,201
63,420,201
63,421,201
63,425,201
64,331,362
64,369,362
64,372,362
64,373,362
64,404,201
64,417,201
64,418,201
64,424,201
65,297,362
65,430,201
66,294,362
66,421,201
66,422,201
66,427,201
66,428,201
66,432,201
67,302,362
67,428,201
68,375,362
68,377,362
68,378,201
68,381,201
68,424,201
68,426,201
68,428,201
69,305,362
69,360,362
69,369,362
69,370,362
69,373,362
69,374,362
69,375,362
69,377,362
69,378,201
69,389,201
69,424,201
69,426,201
69,428,201
69,432,201
70,350,362
70,351,362
70,365,362
70,366,362
70,367,362
70,368,362
70,376,362
70,377,362
70,425,201
70,426,201
