"y","x","cluster_id"
19,341,251
21,348,251
24,369,251
24,375,251
25,344,251
25,350,251
25,351,251
25,370,251
26,319,251
26,320,251
26,347,251
26,348,251
26,351,251
27,334,251
27,349,251
27,350,251
27,376,251
28,331,251
28,356,251
28,375,251
29,163,261
29,221,1125
29,337,251
29,367,251
29,382,251
30,155,261
30,169,261
30,341,251
30,356,251
30,381,251
31,146,261
31,149,261
31,341,251
31,380,251
32,148,261
32,149,261
32,151,261
32,157,261
32,159,261
32,170,261
32,203,261
32,330,251
32,342,251
33,146,261
33,149,261
33,164,261
33,167,261
33,176,261
33,323,251
33,341,251
33,342,251
33,383,251
33,384,251
34,155,261
34,157,261
34,161,261
34,162,261
34,164,261
34,165,261
34,166,261
34,340,251
34,341,251
34,342,251
34,357,251
34,358,251
34,385,251
35,145,261
35,153,261
35,154,261
35,155,261
35,161,261
35,163,261
35,165,261
35,166,261
35,168,261
35,169,261
35,170,261
35,172,261
35,173,261
35,325,251
35,385,251
36,134,261
36,135,261
36,136,261
36,142,261
36,143,261
36,149,261
36,154,261
36,155,261
36,157,261
36,161,261
36,168,261
36,169,261
36,170,261
36,171,261
36,172,261
36,174,261
36,330,251
36,331,251
36,332,251
36,333,251
36,337,251
36,342,251
36,387,251
37,132,261
37,133,261
37,134,261
37,146,261
37,150,261
37,154,261
37,167,261
37,170,261
37,173,261
37,176,261
37,218,1125
37,220,1125
37,329,251
37,330,251
37,331,251
37,332,251
37,333,251
37,337,251
37,338,251
37,387,251
37,388,251
38,132,261
38,136,261
38,137,261
38,140,261
38,146,261
38,148,261
38,149,261
38,151,261
38,155,261
38,157,261
38,160,261
38,176,261
38,177,261
38,329,251
38,330,251
38,331,251
38,332,251
38,333,251
38,388,251
39,133,261
39,135,261
39,136,261
39,140,261
39,142,261
39,145,261
39,146,261
39,147,261
39,149,261
39,150,261
39,151,261
39,154,261
39,157,261
39,172,261
39,174,261
39,302,251
39,328,251
39,329,251
39,330,251
39,331,251
39,332,251
39,333,251
39,381,251
39,389,251
40,131,261
40,132,261
40,134,261
40,145,261
40,155,261
40,163,261
40,164,261
40,328,251
40,329,251
40,330,251
40,331,251
40,332,251
40,333,251
41,124,261
41,125,261
41,131,261
41,133,261
41,134,261
41,151,261
41,156,261
41,159,261
41,164,261
41,180,261
41,298,251
41,327,251
41,328,251
41,329,251
41,330,251
41,331,251
41,332,251
41,333,251
42,128,261
42,130,261
42,132,261
42,133,261
42,134,261
42,142,261
42,151,261
42,157,261
42,159,261
42,175,261
42,184,261
42,304,251
42,324,251
42,327,251
42,328,251
42,329,251
42,330,251
42,332,251
42,357,251
42,364,251
43,123,261
43,131,261
43,132,261
43,133,261
43,138,261
43,156,261
43,159,261
43,160,261
43,162,261
43,292,251
43,327,251
43,328,251
43,329,251
43,331,251
43,333,251
43,334,251
43,364,251
43,365,251
44,104,514
44,106,514
44,107,514
44,108,514
44,109,514
44,116,514
44,121,261
44,135,261
44,141,261
44,158,261
44,327,251
44,331,251
44,334,251
44,341,251
44,343,251
44,364,251
45,100,514
45,103,514
45,106,514
45,107,514
45,108,514
45,109,514
45,124,261
45,148,261
45,289,251
45,364,251
45,371,251
45,372,251
46,100,514
46,101,514
46,102,514
46,108,514
46,109,514
46,122,261
46,124,261
46,161,261
46,172,261
46,173,261
46,180,261
46,185,261
46,348,251
46,354,251
46,356,251
47,94,514
47,97,514
47,99,514
47,101,514
47,102,514
47,104,514
47,108,514
47,119,261
47,120,261
47,122,261
47,125,261
47,126,261
47,127,261
47,130,261
47,180,261
47,327,251
47,333,251
47,348,251
47,349,251
48,103,514
48,107,514
48,109,514
48,113,514
48,114,514
48,119,261
48,120,261
48,124,261
48,126,261
48,128,261
48,333,251
48,349,251
48,350,251
48,366,251
48,384,886
49,98,514
49,107,514
49,109,514
49,113,514
49,114,514
49,115,514
49,119,261
49,120,261
49,126,261
49,127,261
49,128,261
49,132,261
49,326,251
49,340,251
49,344,251
49,347,251
49,349,251
49,350,251
49,357,251
50,90,514
50,97,514
50,100,514
50,101,514
50,107,514
50,108,514
50,109,514
50,110,514
50,111,514
50,112,514
50,113,514
50,120,261
50,125,261
50,332,251
50,349,251
51,87,514
51,91,514
51,94,514
51,97,514
51,100,514
51,101,514
51,103,514
51,104,514
51,106,514
51,107,514
51,109,514
51,110,514
51,112,514
51,113,514
51,327,251
51,332,251
51,339,251
51,340,251
51,341,251
51,355,251
52,90,514
52,91,514
52,92,514
52,93,514
52,94,514
52,95,514
52,100,514
52,101,514
52,102,514
52,104,514
52,105,514
52,106,514
52,107,514
52,110,514
52,112,514
52,335,251
52,346,251
52,354,251
52,355,251
52,372,251
52,380,886
53,75,514
53,85,514
53,86,514
53,87,514
53,89,514
53,90,514
53,92,514
53,93,514
53,95,514
53,96,514
53,98,514
53,100,514
53,101,514
53,102,514
53,103,514
53,104,514
53,105,514
53,106,514
53,107,514
53,108,514
53,109,514
53,110,514
53,111,514
53,113,514
53,283,251
53,284,251
53,324,251
53,327,251
53,352,251
53,353,251
53,354,251
53,355,251
54,72,514
54,73,514
54,78,514
54,84,514
54,85,514
54,86,514
54,87,514
54,88,514
54,89,514
54,90,514
54,92,514
54,93,514
54,94,514
54,100,514
54,102,514
54,103,514
54,104,514
54,106,514
54,109,514
54,146,261
54,284,251
54,324,251
54,328,251
54,338,251
54,350,251
54,352,251
54,353,251
54,354,251
54,355,251
54,356,251
54,365,251
54,376,886
55,83,514
55,84,514
55,85,514
55,86,514
55,87,514
55,88,514
55,89,514
55,91,514
55,93,514
55,95,514
55,118,514
55,282,251
55,324,251
55,337,251
55,338,251
55,343,251
55,344,251
55,349,251
55,351,251
55,352,251
55,353,251
55,354,251
55,355,251
55,356,251
55,390,886
56,83,514
56,84,514
56,85,514
56,86,514
56,87,514
56,88,514
56,90,514
56,91,514
56,92,514
56,93,514
56,97,514
56,101,514
56,140,261
56,310,251
56,337,251
56,344,251
56,345,251
56,349,251
56,353,251
56,354,251
56,355,251
56,356,251
56,359,251
56,380,886
56,390,886
57,64,514
57,66,514
57,67,514
57,81,514
57,82,514
57,83,514
57,84,514
57,85,514
57,86,514
57,87,514
57,88,514
57,92,514
57,94,514
57,95,514
57,98,514
57,117,514
57,349,251
57,354,251
57,355,251
57,389,886
57,390,886
58,64,514
58,81,514
58,82,514
58,83,514
58,84,514
58,85,514
58,86,514
58,95,514
58,118,514
58,135,261
58,188,1125
58,323,251
58,324,251
58,348,251
58,349,251
