"y","x","cluster_id"
13,142,64
15,140,64
15,144,64
16,139,64
16,140,64
16,141,64
16,143,64
16,144,64
17,138,64
17,139,64
17,140,64
17,141,64
17,143,64
17,145,64
17,146,64
18,116,64
18,140,64
18,142,64
18,150,64
19,113,64
19,162,64
20,115,64
21,110,64
21,158,64
22,109,64
22,131,64
23,107,64
23,108,64
23,125,64
23,126,64
23,129,64
23,131,64
23,134,64
23,138,64
24,108,64
24,110,64
24,120,64
24,122,64
24,125,64
24,126,64
24,129,64
24,130,64
25,124,64
25,125,64
25,126,64
25,127,64
25,142,64
26,117,64
26,122,64
26,123,64
26,124,64
26,125,64
26,127,64
27,121,64
27,122,64
27,129,64
28,122,64
28,128,64
28,130,64
28,131,64
29,118,64
29,119,64
29,128,64
29,130,64
29,152,64
29,156,64
30,107,64
30,117,64
30,148,64
30,152,64
31,153,64
32,97,64
32,184,64
33,121,64
34,95,64
34,96,64
34,120,64
35,94,64
35,95,64
35,96,64
36,94,64
36,112,64
36,163,64
37,94,64
37,189,64
38,93,64
38,190,64
41,95,64
41,159,64
42,94,64
42,95,64
42,102,64
43,90,64
43,94,64
43,101,64
43,156,64
45,101,64
46,91,64
46,158,64
49,89,64
49,186,64
52,133,64
52,169,64
54,124,64
54,152,64
54,168,64
54,227,186
56,167,64
57,135,64
58,81,64
58,159,64
61,173,64
62,139,64
63,110,64
64,110,64
65,99,64
67,98,64
67,247,186
69,246,186
72,107,64
73,207,186
73,252,186
77,123,64
77,195,64
77,260,186
79,80,174
79,297,186
80,76,174
81,178,64
82,151,64
82,179,64
83,176,64
85,75,174
85,76,174
87,72,174
87,243,186
90,65,174
90,377,183
93,71,174
95,58,174
96,122,174
99,74,174
100,54,174
100,59,174
100,68,174
100,74,174
102,55,174
102,56,174
102,59,174
103,51,174
104,49,174
104,71,174
105,393,183
106,57,174
106,395,183
107,48,174
107,396,183
108,393,183
108,396,183
109,69,174
109,73,174
109,397,183
110,393,183
111,55,174
111,188,186
112,188,186
112,310,183
112,394,183
113,402,183
114,42,174
115,294,186
119,396,183
120,84,174
125,77,174
127,401,183
130,319,183
130,405,183
131,40,174
133,41,174
133,402,183
133,403,183
135,60,174
137,372,183
140,51,174
142,340,183
145,239,186
149,119,174
149,120,174
149,218,186
150,50,174
150,118,174
150,119,174
153,338,183
154,54,174
160,250,186
161,253,186
162,186,186
162,343,183
166,255,186
168,52,174
168,53,174
168,250,186
169,238,186
170,259,186
173,260,186
175,82,174
181,255,186
181,382,183
182,132,174
182,255,186
185,146,174
190,340,183
193,219,186
195,53,174
197,245,186
203,102,174
204,54,174
204,61,174
204,234,186
207,322,183
221,174,186
221,218,186
223,68,174
228,391,183
229,106,174
237,387,183
238,386,183
239,80,174
240,385,183
242,83,174
243,372,183
243,373,183
247,261,186
251,363,183
276,244,255
281,252,255
284,253,255
285,253,255
307,271,255
309,124,255
309,225,255
311,309,255
342,133,255
343,133,255
345,135,255
345,136,255
346,145,255
347,137,255
348,133,255
349,123,255
349,146,255
349,263,255
350,206,255
353,150,255
353,186,255
354,187,255
366,208,255
366,213,255
