"y","x","cluster_id"
21,304,34
22,286,34
24,276,34
24,277,34
28,269,34
32,262,34
38,315,34
39,315,34
40,316,34
41,316,34
41,373,34
43,291,34
43,379,34
44,291,34
44,292,34
44,318,34
45,291,34
45,292,34
45,379,34
47,291,34
47,292,34
48,292,34
48,380,34
49,292,34
49,380,34
50,293,34
52,258,34
52,293,34
54,258,34
55,294,34
56,383,34
58,258,34
59,258,34
59,296,34
60,258,34
62,298,34
63,258,34
68,257,34
69,457,51
70,436,51
70,458,51
71,459,51
75,462,51
76,460,51
76,461,51
77,460,51
77,463,51
78,460,51
116,529,51
117,532,51
118,528,51
118,531,51
119,530,51
120,531,51
120,532,51
131,227,34
131,228,34
136,525,51
136,526,51
138,526,51
138,527,51
139,526,51
139,527,51
140,526,51
140,527,51
141,526,51
141,527,51
141,547,51
142,526,51
142,527,51
143,272,34
143,276,34
143,527,51
144,526,51
144,527,51
145,526,51
146,526,51
146,527,51
171,61,34
192,215,34
263,168,90
267,249,90
269,169,90
280,171,90
281,411,90
281,412,90
281,413,90
282,413,90
342,369,90
357,293,90
358,210,90
359,213,90
366,332,90
372,294,90
378,292,90
379,376,90
382,281,90
383,293,90
393,290,90
399,276,90
399,335,90
409,289,90
415,302,90
419,310,90
425,364,90
425,380,90
426,345,90
426,348,90
426,349,90
426,394,90
